"year","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
1855,-0.06283296356797,-0.0235116975001172,-0.00571685132243473,-2.21711092664658e-06,-0.0264340807761713,-0.00333226165592367,-0.0150650935544519,-0.00152656680693559,0.015553461989161,0.021431795290598,-0.0101167894763489,0.000717389920245309,0.0459207513095276,-0.00306263014412361,0.025856884057971
1856,-0.0621617535617593,-0.0226756443200613,-0.00563896999432454,-2.09105783211517e-06,-0.025346371891452,-0.0032083700417592,-0.0146669311545043,-0.0016349718536655,0.0145773485311023,0.0226807524484854,-0.0234476024950146,0.0138199221212122,0.00572108316564166,-0.0400797801491586,-0.092226449275362
1857,-0.0614070272657658,-0.0218906655170632,-0.00555935094213545,-1.97853137424597e-06,-0.0242475127337262,-0.00309263302566179,-0.0142973934190908,-0.00170921112173662,0.0128478733443794,0.0234705693719911,-0.0270711481118904,-0.036690795390824,-0.00665559536619224,-0.0989512349799796,-0.233726449275362
1858,-0.0605603388609029,-0.0211305238692463,-0.00547508046740509,-1.86520234831702e-06,-0.023231933519261,-0.00298231583289683,-0.0139880730751564,-0.00181281313742482,0.0109308168524856,0.0239699601946226,-0.0224771807890646,0.0140025834329266,-0.0153887871631146,-0.0558700340540366,-0.030059782608696
1859,-0.0596294988331693,-0.0203966781231037,-0.00537606083292627,-1.76181451976449e-06,-0.0224570703347274,-0.00287583871106012,-0.0137709318942204,-0.00198150631862266,0.00958472124088902,0.0242764930558115,-0.0124733422971257,0.00411686942730238,0.0227465094935981,-0.00788981415435758,0.081856884057971
1860,-0.058619806311971,-0.0196871341059397,-0.00525849650859451,-1.67131295904681e-06,-0.0217982830869849,-0.00277177871932002,-0.0135809720589256,-0.00218494654873681,0.00844811262042667,0.0244783665216823,0.00294049805599422,-0.0154871661093212,0.0231220345339547,-0.0115777857874146,-0.073976449275362
1861,-0.0575616126091962,-0.0189778183729417,-0.00512510299634986,-1.58919936428348e-06,-0.0211304560447443,-0.00266930068413525,-0.0133714938080062,-0.00232882254795731,0.00741237484303257,0.0114065443258949,0.00985261750711054,-0.0327047446282744,0.0263129811421974,-0.0206892002273196,-0.151393115942029
1862,-0.0564880385982539,-0.0182547177164429,-0.00498296173898282,-1.51327892901393e-06,-0.0205606467080407,-0.00256714417879426,-0.0131733624155942,-0.00238291455880219,0.00712444919052607,-0.0141620859115272,0.0105547393525656,-0.024189965951454,-0.0547809896290116,-0.130631155046137,-0.249893115942029
1863,-0.0554006527032204,-0.0174965958003093,-0.00483859199175437,-1.43910324024413e-06,-0.0200386698201601,-0.00246377188062388,-0.012988373011394,-0.0024102601511803,0.00735263811719067,-0.0218509522479393,0.00954546922741108,-0.0111861209052377,-0.0196388441973196,-0.0782393287513406,-0.00864311594202899
1864,-0.0542953589927832,-0.0167111776260298,-0.00469160364626328,-1.3670568989301e-06,-0.0194353982896036,-0.00235799672013115,-0.0127527834587193,-0.00251540738247577,0.00644252374369827,-0.0110382100648908,0.00793323816322289,-0.000979787064035331,0.0179996133591779,-0.00752116915151857,-0.041143115942029
