"","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
"CO2",1,0.977,0.998,0.955,0.947,0.981,0.084,-0.828,-0.968,-0.299,0.689,-0.035,0.237,0.973,0.952
"CH4",0.977,1,0.985,0.917,0.992,1,-0.083,-0.921,-0.997,-0.363,0.781,-0.011,0.12,0.93,0.917
"N2O",0.998,0.985,1,0.938,0.96,0.988,0.035,-0.844,-0.975,-0.308,0.713,-0.026,0.197,0.964,0.944
"Halogenated",0.955,0.917,0.938,1,0.876,0.926,0.277,-0.772,-0.919,-0.339,0.586,-0.041,0.319,0.945,0.923
"Ozone",0.947,0.992,0.96,0.876,1,0.99,-0.16,-0.949,-0.994,-0.385,0.808,0.006,0.045,0.888,0.879
"Strat. H2O",0.981,1,0.988,0.926,0.99,1,-0.063,-0.913,-0.996,-0.357,0.773,-0.014,0.136,0.937,0.923
"Land use & BC on snow",0.084,-0.083,0.035,0.277,-0.16,-0.063,1,0.333,0.073,-0.009,-0.471,-0.016,0.356,0.134,0.107
"Aerosol-radiation",-0.828,-0.921,-0.844,-0.772,-0.949,-0.913,0.333,1,0.934,0.428,-0.839,-0.007,0.03,-0.761,-0.766
"Aerosol-cloud",-0.968,-0.997,-0.975,-0.919,-0.994,-0.996,0.073,0.934,1,0.384,-0.777,0.002,-0.091,-0.915,-0.902
"Volcanic",-0.299,-0.363,-0.308,-0.339,-0.385,-0.357,-0.009,0.428,0.384,1,-0.233,-0.199,0.35,-0.167,-0.165
"Solar",0.689,0.781,0.713,0.586,0.808,0.773,-0.471,-0.839,-0.777,-0.233,1,0.027,-0.002,0.672,0.656
"CTI",-0.035,-0.011,-0.026,-0.041,0.006,-0.014,-0.016,-0.007,0.002,-0.199,0.027,1,0.002,0.02,0.073
"AMO",0.237,0.12,0.197,0.319,0.045,0.136,0.356,0.03,-0.091,0.35,-0.002,0.002,1,0.436,0.442
"Total sum",0.973,0.93,0.964,0.945,0.888,0.937,0.134,-0.761,-0.915,-0.167,0.672,0.02,0.436,1,0.983
"Observation",0.952,0.917,0.944,0.923,0.879,0.923,0.107,-0.766,-0.902,-0.165,0.656,0.073,0.442,0.983,1
