"","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
"CO2",1,0.816,0.998,0.936,0.395,0.859,0.826,0.083,-0.689,0.049,-0.299,-0.134,0.646,0.905,0.811
"CH4",0.816,1,0.797,0.933,0.83,0.995,0.569,-0.477,-0.959,-0.172,-0.001,-0.103,0.488,0.719,0.676
"N2O",0.998,0.797,1,0.927,0.37,0.842,0.84,0.112,-0.67,0.048,-0.312,-0.131,0.64,0.901,0.803
"Halogenated",0.936,0.933,0.927,1,0.64,0.96,0.804,-0.144,-0.86,-0.119,-0.207,-0.089,0.54,0.822,0.745
"Ozone",0.395,0.83,0.37,0.64,1,0.789,0.242,-0.805,-0.915,-0.304,0.196,-0.03,0.163,0.311,0.322
"Strat. H2O",0.859,0.995,0.842,0.96,0.789,1,0.622,-0.396,-0.94,-0.14,-0.044,-0.109,0.528,0.765,0.712
"Land use & BC on snow",0.826,0.569,0.84,0.804,0.242,0.622,1,0.334,-0.514,-0.086,-0.517,-0.014,0.367,0.673,0.585
"Aerosol-radiation",0.083,-0.477,0.112,-0.144,-0.805,-0.396,0.334,1,0.589,0.304,-0.455,0.009,0.095,0.112,0.037
"Aerosol-cloud",-0.689,-0.959,-0.67,-0.86,-0.915,-0.94,-0.514,0.589,1,0.244,-0.024,0.051,-0.304,-0.556,-0.522
"Volcanic",0.049,-0.172,0.048,-0.119,-0.304,-0.14,-0.086,0.304,0.244,1,0.063,-0.207,0.376,0.278,0.263
"Solar",-0.299,-0.001,-0.312,-0.207,0.196,-0.044,-0.517,-0.455,-0.024,0.063,1,0.029,-0.022,-0.101,-0.119
"CTI",-0.134,-0.103,-0.131,-0.089,-0.03,-0.109,-0.014,0.009,0.051,-0.207,0.029,1,0.002,0.02,0.125
"AMO",0.646,0.488,0.64,0.54,0.163,0.528,0.367,0.095,-0.304,0.376,-0.022,0.002,1,0.878,0.853
"Total sum",0.905,0.719,0.901,0.822,0.311,0.765,0.673,0.112,-0.556,0.278,-0.101,0.02,0.878,1,0.932
"Observation",0.811,0.676,0.803,0.745,0.322,0.712,0.585,0.037,-0.522,0.263,-0.119,0.125,0.853,0.932,1
