"year","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
1855,-0.0400982677473541,-0.0194933031837031,-0.00550761205144096,-1.42501389071025e-06,-0.0169356616243582,-0.00272899503102703,-0.00669141129698092,-0.000548916162925037,0.0175543718131935,0.0233478567943502,0.000749104713867885,0.00109141405422616,0.0715225809173433,0.0239681104807944,0.025856884057971
1856,-0.0381433257344347,-0.0184793376765821,-0.00536819748547104,-1.28099035583146e-06,-0.0153855681872234,-0.00258818431047563,-0.00588254305935432,-0.000492414186448822,0.0171360179365189,0.0240693805785884,-0.00428501489488079,0.0155654596317056,0.0193338880325499,-0.0130935021967566,-0.092226449275362
1857,-0.0362536944584662,-0.0175446440115454,-0.00522651363741961,-1.15608436234252e-06,-0.0138247701725213,-0.00245952376818947,-0.00512950496585683,-0.000394922345231905,0.0163004396609642,0.0244629869900912,-0.00560951125490929,-0.0315473054695313,0.00326602716066996,-0.0728508032481116,-0.233726449275362
1858,-0.0344261648207187,-0.0166479592533233,-0.0050786464192818,-1.04058505774678e-06,-0.012400689581074,-0.00233836744188296,-0.00447667473996883,-0.000316622037686657,0.0153943069675826,0.0247046137771527,-0.00377962615478169,0.0157794753904677,-0.00807172475713794,-0.0305590540871036,-0.030059782608696
1859,-0.0326230219792112,-0.0157732042424354,-0.00490779058516743,-9.35084637780622e-07,-0.0113297773332514,-0.00222184644622914,-0.00397075265085593,-0.000294259729033848,0.0147512923832939,0.0248672766881444,9.09373201745346e-05,0.00419684432337062,0.0414369248706174,0.0150556446242244,0.081856884057971
1860,-0.0308367991897618,-0.0149241243356365,-0.00470571394970214,-8.43783285422762e-07,-0.010436016851489,-0.00210788982381505,-0.00353061334947782,-0.000283208651402304,0.0142024987963329,0.0249847881253698,0.00727881977503333,-0.0130470948003996,0.0419244453379896,0.00941767212958738,-0.073976449275362
1861,-0.0290776979683206,-0.0140801763644318,-0.00447606881149803,-7.65595926820153e-07,-0.00956563055396163,-0.00199480318201501,-0.00309184710296322,-0.000246160261030538,0.013722641460417,0.0164399348752099,0.0137420814903386,-0.0280694678849367,0.0460670499971448,0.000240741064718386,-0.151393115942029
1862,-0.0273697613482947,-0.0132061130207372,-0.00422994744231482,-6.81038832731992e-07,-0.00884953088710483,-0.00188201067057722,-0.00268944169383972,-0.000217558950165215,0.013622173821502,9.37116391012717e-05,0.015246660120517,-0.0206403057716552,-0.0529927225234539,-0.103771377318854,-0.249893115942029
1863,-0.0256861463004675,-0.0122821670579832,-0.00398075187321241,-6.06351892033953e-07,-0.00821803558989643,-0.00176676816721549,-0.00233978493591732,-0.000183887569111697,0.0137440376829807,-0.00431434619274373,0.0130273031905448,-0.00929442391011873,-0.0135893056612161,-0.0557219625517376,-0.00864311594202899
1864,-0.0240410220662512,-0.0113214857587351,-0.00373011136611627,-5.41887600907483e-07,-0.00744503298983783,-0.00164719054790178,-0.00189748532848012,-0.000115877564357727,0.0133356320920216,0.00324863506240167,0.00935201912216459,-0.000389376396085281,0.0352743291091658,0.0102874404652594,-0.041143115942029
