"year","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
1855,-0.0170841701623663,-0.0112527906099603,-0.00116205975921511,-2.04698395318063e-07,-0.00316491217376706,-0.00158383419490892,0.00686508125473796,0.000252285587288938,0.0158940662648111,0.0157854602184072,0.00355781545711649,0.00165824420167451,0.101152425044557,0.0595431977399841,0.12725178703442
1856,-0.0145281174507786,-0.01001910968487,-0.000857877940264378,-3.49194787417929e-08,-0.00115780928362426,-0.00141906366874582,0.00818813795667216,0.000457947212929805,0.0157119155838501,0.01588365775966,0.0028797491472667,0.0206595877192486,0.0308841232955915,0.0144843989016071,0.0580760953677533
1857,-0.0122029297632824,-0.00891529225971806,-0.000580040588202048,1.14718173585327e-07,0.000767429369991142,-0.00126953207577379,0.00938305913858086,0.000739333344297675,0.0153491922970795,0.0159383384163388,0.00270609244327492,-0.0346715897849154,0.0092499103311461,-0.060540625633816,0.0112898703677533
1858,-0.00999812087781232,-0.00789477515567327,-0.000323151917158588,2.58091150609007e-07,0.00250755409063935,-0.0011359020197922,0.0104288667073114,0.00103965963701796,0.0149997169588278,0.0159739942922118,0.00296370967870035,0.0209497262130766,-0.00601555291151679,-0.01074237513094,0.0212469620344203
1859,-0.00785864186384762,-0.00692195939994747,-6.50891849913278e-05,3.72645730122267e-07,0.00378794093351784,-0.00100788455139762,0.0112787408387728,0.001218767166642,0.0147703597617181,0.0159969640087287,0.00348424024693484,0.00524729779467939,0.06064426435784,0.0390117342456031,0.14963016203442
1860,-0.00575655717001672,-0.00598266269038297,0.000205041177382362,4.59140823665127e-07,0.00481558464907794,-0.000883959907890946,0.0119682471671165,0.00135366459654601,0.0145811043572282,0.0160134725200058,0.00491850088013357,-0.0140791893435539,0.061300675419634,0.0279357561845471,-0.0324630712989128
1861,-0.00368585747943352,-0.00503440734587107,0.000491725148947222,5.36165703647517e-07,0.00576760615373585,-0.000762627913574106,0.0126465182909971,0.00153328399459691,0.0144118130939662,0.0148096029055367,0.0174476048583759,-0.0308004433697297,0.066878393084622,0.0243826035645611,-0.0890681629655797
1862,-0.00165923629930692,-0.00406856184873007,0.000782459736275412,6.17266425698927e-07,0.00651313393563034,-0.000640473477044796,0.0132328192363695,0.0016640585444532,0.0143741181584363,0.0125046713712987,0.0203957470622131,-0.0225311169325047,-0.0621281958508778,-0.065943458025803,-0.157772771298913
1863,0.000315503977256278,-0.00302537723143917,0.00107195481985836,6.97135361239387e-07,0.00715319563062265,-0.000514707710199966,0.0137359752329583,0.0017489700388548,0.0144062055607554,0.0119012381007715,0.0161431736032959,-0.0099021287100639,-0.0134445766800938,-0.0129746679963389,-0.0200309462989127
1864,0.00225103703966658,-0.00195076690333737,0.00135821263313647,7.65849090355067e-07,0.00798167545515074,-0.000383412407281306,0.014362968795412,0.00196601058512521,0.0142422488581107,0.0129751314099833,0.00931349725574917,9.99108348510771e-06,0.052346774718111,0.046872100061182,-0.0188119129655798
