"","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
"CO2",1,0.817,0.998,0.936,0.395,0.859,0.826,0.082,-0.689,0.049,-0.299,-0.134,0.646,0.887,0.84
"CH4",0.817,1,0.797,0.933,0.83,0.995,0.569,-0.476,-0.958,-0.172,-0.001,-0.103,0.488,0.7,0.718
"N2O",0.998,0.797,1,0.927,0.37,0.842,0.84,0.113,-0.67,0.048,-0.312,-0.131,0.64,0.883,0.83
"Halogenated",0.936,0.933,0.927,1,0.639,0.96,0.804,-0.144,-0.86,-0.119,-0.207,-0.089,0.54,0.804,0.773
"Ozone",0.395,0.83,0.37,0.639,1,0.788,0.242,-0.805,-0.915,-0.304,0.196,-0.03,0.163,0.298,0.358
"Strat. H2O",0.859,0.995,0.842,0.96,0.788,1,0.623,-0.396,-0.94,-0.14,-0.044,-0.109,0.528,0.747,0.751
"Land use & BC on snow",0.826,0.569,0.84,0.804,0.242,0.623,1,0.334,-0.514,-0.086,-0.517,-0.014,0.367,0.662,0.578
"Aerosol-radiation",0.082,-0.476,0.113,-0.144,-0.805,-0.396,0.334,1,0.589,0.305,-0.457,0.009,0.094,0.117,-0.011
"Aerosol-cloud",-0.689,-0.958,-0.67,-0.86,-0.915,-0.94,-0.514,0.589,1,0.245,-0.025,0.051,-0.303,-0.536,-0.567
"Volcanic",0.049,-0.172,0.048,-0.119,-0.304,-0.14,-0.086,0.305,0.245,1,0.062,-0.207,0.377,0.252,0.218
"Solar",-0.299,-0.001,-0.312,-0.207,0.196,-0.044,-0.517,-0.457,-0.025,0.062,1,0.029,-0.022,-0.125,-0.098
"CTI",-0.134,-0.103,-0.131,-0.089,-0.03,-0.109,-0.014,0.009,0.051,-0.207,0.029,1,0.002,0.074,0.119
"AMO",0.646,0.488,0.64,0.54,0.163,0.528,0.367,0.094,-0.303,0.377,-0.022,0.002,1,0.899,0.851
"Total sum",0.887,0.7,0.883,0.804,0.298,0.747,0.662,0.117,-0.536,0.252,-0.125,0.074,0.899,1,0.949
"Observation",0.84,0.718,0.83,0.773,0.358,0.751,0.578,-0.011,-0.567,0.218,-0.098,0.119,0.851,0.949,1
