"year","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
1855,0.114796417253208,0.0316737852491968,0.00885276306395687,0.0415663631561315,0.00616799354109589,0.0049530127275524,-0.00399574067472763,-0.0135109139735496,-0.0481995491401022,0.0100754657647221,0.0103443057879287,-0.00259055529116471,0.139666719841243,0.301320026272722,0.404985926642988
1856,0.112098518709225,0.0309648522795588,0.0085434137265431,0.0406648539716373,0.00678660979948712,0.00484067407836441,-0.00327947642019242,-0.0130513030066469,-0.0465174530903463,0.0106404936272099,0.00691941843158278,0.0152703261855998,0.0757172939033869,0.250944451500291,0.329731600730536
1857,0.109331201352068,0.0301962066164549,0.00823667509822717,0.0397633300368436,0.00741495230541364,0.00471822686649129,-0.00261204402989231,-0.0125562732997425,-0.0451942541207941,0.0110026270651808,0.00571647518859075,-0.0429000575471505,0.0560116704936703,0.17017358973164,0.276866741484751
1858,0.106519763665675,0.0293931926457191,0.00793469322069137,0.0388617974509372,0.00793046222158807,0.0045884729414261,-0.00201612887612459,-0.0120773963978881,-0.0439323598573335,0.0112707587692196,0.0064247856396459,0.0155187778420816,0.0420998783674005,0.21353254887297,0.280745198905633
1859,0.103677681167933,0.0285690048786344,0.00765275479205934,0.037960256530683,0.0081315800998903,0.00445576991345553,-0.00155569859051758,-0.0116468879427909,-0.0424455672123337,0.011489222794695,0.00836298438268389,0.0012116988316988,0.102717825023651,0.259275608309357,0.403049764659848
1860,0.100818025866387,0.0277248309820773,0.00739785867665055,0.0370587033326621,0.00817841393144263,0.00432054904101389,-0.00115412429267447,-0.0112262592545393,-0.0408772292709132,0.0116789220279306,0.0123146434612019,-0.0200844807595723,0.103290611105999,0.240258097634029,0.21487789708073
1861,0.0979325473531243,0.0268761928299446,0.00716684874845903,0.0361571374594535,0.00820243259469475,0.0041843382320811,-0.000746080833714456,-0.0107832466684043,-0.0392463865736031,0.00646329408096464,0.0157999847354736,-0.0386380523987847,0.108340448634645,0.222439121239891,0.152194171168279
1862,0.0949991587423965,0.026049919653729,0.00694964189950831,0.0352555787209753,0.00810040352352968,0.00404794839794111,-0.000374615989660641,-0.0103476828225113,-0.0372907393560284,-0.0036105189856108,0.0163162687450967,-0.0294743480794933,-0.0130205782028199,0.0970788425058536,0.0774109285891607
1863,0.0920435145719678,0.0252663251210706,0.0067353962596252,0.0343540107172585,0.00791276428447781,0.00391397082572018,-4.95279897585301e-05,-0.00990717788886576,-0.0351430745221037,-0.00622927365997323,0.0145711845286512,-0.0154753039423238,0.0352196379842489,0.152570870273926,0.209074119343376
1864,0.0890690677664498,0.0245183852105003,0.00652168261873328,0.0334524336691666,0.00786019758951794,0.00378356123711589,0.000353492817138183,-0.0094376517697398,-0.0334479208554592,-0.00140622643498976,0.0119548935713734,-0.00448956284134534,0.0950475167382111,0.223468077471249,0.204214518430924
