"year","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
1855,-0.0590196477486503,-0.0224136466388798,-0.0054948476923167,-2.12366936471025e-06,-0.0251800623190932,-0.00317730201599167,-0.0143228920436784,-0.00145132406522686,0.0147750446132452,0.0262314457084203,-0.0100358057722311,0.00107473217805844,0.0381503259859671,-0.0454579138861532,-0.0403661593469206
1856,-0.0583852273352478,-0.0216251070476136,-0.00542106714478377,-2.00338943390579e-06,-0.0241640441705231,-0.00305979039689544,-0.0139543645535786,-0.0015538911627804,0.0138388791633941,0.0278182757379959,-0.0226925474379295,0.0196675250219554,0.00200159978170344,-0.0763053529187372,-0.0587627160135866
1857,-0.0576684552204728,-0.0208789212760408,-0.00534570445505967,-1.89909936102442e-06,-0.0231241756532384,-0.00295008391039925,-0.0136119038240176,-0.00162404229867292,0.0121853390055881,0.0288159826941093,-0.026200749336594,-0.050001617245751,-0.00912787427176586,-0.154476826723354,-0.215339488701087
1858,-0.0568666237405345,-0.0201660969582238,-0.00526585070606736,-1.79088804176026e-06,-0.022171511542232,-0.00284533897559811,-0.0133220704932306,-0.00172159426077531,0.0103652178818219,0.0294459803636459,-0.021699897730725,0.0199295523471238,-0.0169810176864407,-0.0920263531240222,-0.145585375180253
1859,-0.0559852765539924,-0.0194733670725624,-0.00517195103057363,-1.69656277499109e-06,-0.0214439739400496,-0.00274487350618631,-0.0131078420073518,-0.00188461756504202,0.00908061309007187,0.0298379587271836,-0.0122142401911564,0.00574851327562464,0.0173113648433775,-0.0506806485181142,-0.0265837568469205
1860,-0.0550299062162461,-0.0187976984992647,-0.00506061242520198,-1.60698388793362e-06,-0.0207945900851542,-0.00264763132409451,-0.012930154403968,-0.00207928431847015,0.007995708991318,0.0300966265517009,0.00259101044877733,-0.0210506277970731,0.017649048025689,-0.0598836505120142,-0.135224629346921
1861,-0.0540299439953957,-0.0181281339019365,-0.00493418352575033,-1.53115296868887e-06,-0.0201609837136698,-0.00255135847572983,-0.0127311000401207,-0.00221620801597219,0.0070158673065498,0.0133179841019304,0.00719677937125193,-0.0445591473724855,0.020518441247069,-0.0756205323704472,-0.214845843846918
1862,-0.053016958556754,-0.0174413936204765,-0.00479964907560669,-1.45940312793012e-06,-0.0196288426883953,-0.00245508541402706,-0.0125463313317176,-0.00226525003827353,0.00673183023182491,-0.0195179381850722,0.00733817638706183,-0.0329332476570298,-0.0545443906757284,-0.177292791611855,-0.307139094326086
1863,-0.0519931677520017,-0.0167243371808876,-0.00466271657014134,-1.39160666858582e-06,-0.0191458971525163,-0.00235721364053506,-0.0123825514128293,-0.00228779939602496,0.0069370132207254,-0.0292541714784845,0.00712441183611111,-0.0151780711385613,-0.0208027942128559,-0.126623955824616,-0.126218105180254
1864,-0.0509468022959523,-0.0159799505083647,-0.00452356860705991,-1.32208137020659e-06,-0.0185688103849163,-0.00225828991910443,-0.0121623553625494,-0.00239179740021203,0.00606856100455841,-0.0152908783896776,0.00676890427779676,-0.00124255757984689,0.0130428159571267,-0.0572842165079532,-0.238849479346921
