"","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
"CO2",1,0.977,0.998,0.955,0.946,0.981,0.085,-0.828,-0.968,-0.297,0.688,-0.035,0.237,0.966,0.948
"CH4",0.977,1,0.985,0.917,0.992,1,-0.081,-0.921,-0.997,-0.362,0.781,-0.011,0.12,0.921,0.908
"N2O",0.998,0.985,1,0.939,0.96,0.988,0.039,-0.845,-0.975,-0.308,0.712,-0.026,0.198,0.957,0.939
"Halogenated",0.955,0.917,0.939,1,0.876,0.925,0.28,-0.772,-0.919,-0.339,0.585,-0.041,0.32,0.939,0.918
"Ozone",0.946,0.992,0.96,0.876,1,0.99,-0.158,-0.949,-0.994,-0.384,0.808,0.006,0.045,0.878,0.867
"Strat. H2O",0.981,1,0.988,0.925,0.99,1,-0.061,-0.913,-0.996,-0.357,0.773,-0.013,0.135,0.929,0.915
"Land use & BC on snow",0.085,-0.081,0.039,0.28,-0.158,-0.061,1,0.331,0.071,-0.009,-0.47,-0.016,0.357,0.143,0.11
"Aerosol-radiation",-0.828,-0.921,-0.845,-0.772,-0.949,-0.913,0.331,1,0.934,0.427,-0.839,-0.007,0.03,-0.749,-0.748
"Aerosol-cloud",-0.968,-0.997,-0.975,-0.919,-0.994,-0.996,0.071,0.934,1,0.383,-0.777,0.001,-0.091,-0.906,-0.891
"Volcanic",-0.297,-0.362,-0.308,-0.339,-0.384,-0.357,-0.009,0.427,0.383,1,-0.234,-0.199,0.35,-0.15,-0.146
"Solar",0.688,0.781,0.712,0.585,0.808,0.773,-0.47,-0.839,-0.777,-0.234,1,0.027,-0.003,0.663,0.649
"CTI",-0.035,-0.011,-0.026,-0.041,0.006,-0.013,-0.016,-0.007,0.001,-0.199,0.027,1,0.002,0.046,0.072
"AMO",0.237,0.12,0.198,0.32,0.045,0.135,0.357,0.03,-0.091,0.35,-0.003,0.002,1,0.452,0.464
"Total sum",0.966,0.921,0.957,0.939,0.878,0.929,0.143,-0.749,-0.906,-0.15,0.663,0.046,0.452,1,0.986
"Observation",0.948,0.908,0.939,0.918,0.867,0.915,0.11,-0.748,-0.891,-0.146,0.649,0.072,0.464,0.986,1
