"year","CO2","CH4","N2O","Halogenated","Ozone","Strat. H2O","Land use & BC on snow","Aerosol-radiation","Aerosol-cloud","Volcanic","Solar","CTI","AMO","Total sum","Observation"
1855,0.126547532290104,0.0349094286858663,0.00979856565791501,0.0458577379719094,0.00680514513329259,0.00545201513059321,-0.00438382691058137,-0.0148789965254842,-0.0530714230332678,0.0198965579952289,0.0153615697284051,-0.00291984153171547,0.111510824472377,0.302243322607672,0.3395929301953
1856,0.123559103089271,0.0341300415216039,0.00945804052888907,0.0448633032271122,0.00749303395818797,0.00532798839283335,-0.0035971424885112,-0.0143725097611259,-0.0512175381423867,0.0210196314939718,0.0102677749780431,0.0172113418121681,0.0604531836902977,0.264772706601723,0.308933045615803
1857,0.120473701488169,0.0332776711362588,0.00911985633114314,0.0438688503526597,0.00818143990285725,0.00519271906931443,-0.00286113473683083,-0.0138277690915906,-0.0497608644982115,0.021738579499709,0.00850016150098958,-0.0483530964061516,0.0447200848127883,0.179731812117247,0.160636659369638
1858,0.117334195747856,0.0323910822937891,0.00878765403859084,0.0428743896471733,0.00873982298764842,0.0050497008502865,-0.00221601112378285,-0.0133004116753014,-0.0483732879720584,0.022267740448157,0.009564120518059,0.0174913742313537,0.0336128188037345,0.233723293876145,0.225046305206808
1859,0.114178483774036,0.0314818321261629,0.00847713668979261,0.0418799179305679,0.0089570572361402,0.00490325463786345,-0.00171571702013008,-0.0128265465692673,-0.0467339305576445,0.0226969667710521,0.0124403909365086,0.00136571822450259,0.082010584693451,0.26711044673076,0.328824929377311
1860,0.111010355629665,0.0305522387508048,0.00819676284579338,0.0408854332406632,0.00901572369053938,0.00475422467772333,-0.00127414440650241,-0.0123635065169611,-0.0450074978418754,0.0230702898795238,0.0182855986851027,-0.0226374249817201,0.0824679008555363,0.247696933903965,0.207458543464481
1861,0.107800530724534,0.0296130978695443,0.00794349332759486,0.0398909340240282,0.00904173322252845,0.00460408929483846,-0.000825441277315335,-0.0118757766122135,-0.0432106903613085,0.0127811836677167,0.0234411089340307,-0.0435493465371462,0.0864997242341556,0.224123157637062,0.170953126384984
1862,0.104559549903228,0.0287051615277676,0.00770473230228552,0.0388964432513434,0.00891717646286963,0.00445442232906712,-0.00041850021285076,-0.011395497175183,-0.0410560357796209,-0.00712252898043536,0.0241973464466224,-0.0332208410823186,-0.010395714971712,0.113968428296849,0.053703698138819
1863,0.101284868068802,0.027835555972154,0.00746941485490691,0.0379019429570185,0.0087183876386026,0.00430694859620159,-5.29202344176877e-05,-0.0109104226573455,-0.0386879466112117,-0.0123596086676417,0.0216032170694536,-0.0174423743514858,0.0281195897899402,0.158590881203028,0.234130051892656
1864,0.0979875626602464,0.0270045702471283,0.00723529799880026,0.0369074319072488,0.00866474038454468,0.00416353427806102,0.000391617734013685,-0.0103926956665591,-0.0368281850585442,-0.00285229080727039,0.0177188415941813,-0.00506023248687847,0.0758865602885037,0.222111359549693,0.104159813146492
1865,0.0946690001763609,0.0261971716686354,0.00700733461975805,0.035912921243136,0.00866784763312205,0.00402411303894467,0.000895877907639858,-0.00986841686007824,-0.0354306574770452,0.00663054390656474,0.0127766764191267,-0.0100789599093231,0.092744556620568,0.234358231457927,0.234032840233662
1866,0.0913268348316208,0.0254087472541952,0.00678815795450159,0.0349184085235871,0.00862587684149633,0.00388893911940216,0.00139572314565663,-0.00934693068559619,-0.0340802248765675,0.012420150263277,0.00825577701520315,-0.0121261861966614,0.0988790313030307,0.235627566447609,0.215564651904165
1867,0.087956387781429,0.0246378922647168,0.00657745180202727,0.0339238934769367,0.00868832269231891,0.00375805458861282,0.00195920466456471,-0.00881071596596293,-0.0330865072990138,0.0156517340482338,0.00563338797367304,-0.0135147041815942,0.076837978513991,0.208881762998902,0.194073138324667
1868,0.0845579078274232,0.0238544661018822,0.00637583711900237,0.0329293738649155,0.00873936874477038,0.0036309512843997,0.00252506850148088,-0.0082839962962532,-0.0321984884077867,0.0176761945620602,0.00556478433804462,-0.0167799221422139,0.0836032485876066,0.210836359915697,0.19843809149517
1869,0.0810871352998065,0.0230363335608165,0.00617806892218423,0.0319348468312927,0.00861259147583866,0.00350518619989297,0.00299788541940115,-0.00777521507282691,-0.0309239140022928,0.0190892967037202,0.0075042100686077,-0.0165865449478785,0.0661880286670225,0.193811332093345,0.227538081915673
1870,0.0775963693132425,0.0221567724588937,0.00598348089621298,0.0309403174098167,0.00840136465190624,0.00337876746305524,0.00339660642050193,-0.0072687676032634,-0.029491113931718,0.0201689984775788,0.00948482771632667,-0.0575793793941613,0.0721122382191008,0.15854025970935,0.20635251566951
1871,0.0741058692748751,0.0212051330866198,0.00579640767058243,0.0299457944909678,0.00804468780876112,0.00324880712432789,0.0036262254850666,-0.00678304067251626,-0.0277257898572139,0.0210452677391739,0.0115315796190512,-0.019504802033037,0.0565894044719757,0.180653191786656,0.150994450256679
1872,0.0706479881746133,0.0201803272304211,0.00561578631303493,0.0289512687349666,0.00760655340444239,0.00311284276076296,0.00375630890334457,-0.00633296905223228,-0.0259110192004845,0.0184045560133525,0.0128658837828021,-0.0157417339545078,0.0305533142056333,0.153467370965135,0.191432812135515
1873,0.0672289285861928,0.0191070289262843,0.00543612459938322,0.0279567401518114,0.00734476551706357,0.00297082343288631,0.00392166905072274,-0.00588543599115522,-0.0245797610989352,0.012697005815865,0.0118143928780201,-0.0401632518277241,0.0429957427996265,0.130812953540496,0.174991501931018
1874,0.0638541934052884,0.0180219836115205,0.00525746768104468,0.0269622117416974,0.00713842223758234,0.00282312120749932,0.00406005633331542,-0.00544174530517441,-0.0231983543336307,0.0119729516489984,0.0078058753476889,-0.0441873952083573,0.057540822697463,0.131953520960593,0.136168919851521
1875,0.0605307033933492,0.0169357580544231,0.0050774634363016,0.0259676740977433,0.00676457863640512,0.00267085066555212,0.00408434462341339,-0.00501317532451279,-0.0214401268332076,0.0159158335556392,0.00259845297336212,-0.0353326905846146,0.0659882138141534,0.143269542124414,0.121651995272024
1876,0.0572501264267436,0.015840852332469,0.00488922048231025,0.0249731370327397,0.00638525814957679,0.00251588246304345,0.00408702494844276,-0.00460507036650743,-0.0197681822635335,0.0191503233268124,-0.00276659761376773,-0.0339659407610096,0.062240227368552,0.133922308284169,0.0697598265258603
1877,0.0539798021481887,0.0147317813130226,0.00469156579042506,0.0239786042759807,0.00616562162186037,0.00235802651135958,0.00413061084735154,-0.00417315046817005,-0.018366237834534,0.0209662035198916,-0.00782959361225313,0.062064758053201,0.1693019646355,0.330166497503422,0.389707860404697
1878,0.0507412998621759,0.013641750001739,0.00448817400372808,0.0229840684354256,0.00599418432933434,0.00219815505906005,0.00418815910264011,-0.00374256366083521,-0.0170887479205627,0.0221540855479161,-0.012382966726969,0.0939464486455671,0.179431476795266,0.36478385253734,0.462481387866866
1879,0.0475229754240901,0.0125835808711389,0.00428292535733547,0.0219895363792927,0.00566077321348752,0.00203824009195346,0.00421548077413428,-0.00336508981648653,-0.0158065679507912,0.0218942272732358,-0.0160300025584688,-0.0295911039750838,0.0936800894997695,0.146360893650377,0.162996736537369
1880,0.0443415683506335,0.0115545514437574,0.0040711207268237,0.0209950007734679,0.00524539946280629,0.00187870211385967,0.00420213607245845,-0.00300192534429437,-0.0144317411412474,0.0193297871185562,-0.0164369270601513,-0.0238477157503911,0.0802599070564878,0.131497875666137,0.154489109874538
1881,0.041222679556922,0.0105340955693452,0.00385186518043444,0.020000451297287,0.00485660804475658,0.00172150566972097,0.00419484370638913,-0.00260259136544417,-0.0130225228470264,0.0173479717229574,-0.0114994654386996,0.0249947568689731,0.0622138917447507,0.161783725933125,0.231872803128374
1882,0.0381496449878647,0.00952466865083623,0.00362492417238637,0.0190059108897324,0.00432821564672635,0.00156561658122993,0.004128356063267,-0.0022177140545083,-0.0113671962298066,0.0185638133806408,-0.00515549377711253,0.000280252880051735,0.0393317784341735,0.118444451041655,0.156990634548878
1883,0.0350833470806978,0.00852002128863032,0.00339232902419277,0.0180113677415578,0.00376683707235613,0.00141127173249877,0.00404044296830247,-0.00181626020563676,-0.00951734099065826,-0.0233750011328769,-0.00188142459373128,-0.00244386851682881,-0.0171927557378993,0.0191598703775342,0.0964827219693809
1884,0.0320333521450673,0.00753883434186652,0.00315134796755432,0.017016828911529,0.0034337332373508,0.00125929808208257,0.00401810125413995,-0.00133239254376621,-0.00765989660916924,-0.110439978858229,0.00014072906728274,0.0167689591695109,-0.0325053243546401,-0.0633194623235626,-0.0506176776101169
1885,0.0290572461009829,0.00658734987868453,0.00290409018731237,0.0160222954261489,0.00317918728721258,0.00110878362996845,0.00401193566240762,-0.000759854072517843,-0.00570275389136023,-0.139396817431526,3.16039621058401e-05,0.0362863321937605,0.0102152830146991,-0.0334318200400373,-0.0402473596896137
1886,0.0261912193709223,0.00566345701715792,0.00265511543237495,0.0150277529704636,0.00289635940176796,0.000961963719809992,0.00403323075588209,-0.000208946685007066,-0.00406767630228961,-0.104858864722706,-0.00387453816388315,0.00414031945212726,0.0476792621244295,-0.000647587794707083,0.00535783406422258
1887,0.0234455931398868,0.00475428934950262,0.00240507016580097,0.014033206383022,0.00267466614015473,0.000817619441905829,0.00414013222146307,0.000287876997244983,-0.00328170558065478,-0.070142068132623,-0.00903404266158933,-0.0479742161752791,0.0308948375949983,-0.0442656514403178,-0.0735645205152752
1888,0.0207612052821924,0.00386376816227562,0.00215321638536492,0.0130386574639759,0.00246746179823751,0.000676234757969885,0.00428663154567414,0.000744261526893109,-0.00289121024030185,-0.0447542109163837,-0.0138264447122544,0.0430714453301487,0.0229415485417097,0.0543957591727714,0.0301049815718951
1889,0.0182672310209742,0.00299671158779152,0.00189894842268332,0.0120441160653259,0.00218674957541459,0.000538417731389234,0.00438083014752311,0.00118951471164155,-0.00230720095231014,-0.0256746190972657,-0.0179498202116567,0.0676061902442132,0.0292862883545569,0.0954103980522947,0.158400494492398
1890,0.0159082886052746,0.00214704917655702,0.0016392900518618,0.0110495773734073,0.00182183649724176,0.000403726466622842,0.00441858037247499,0.00162440518313815,-0.00154119217734692,-0.0238060036966033,-0.0197156729248888,-0.0521198762177313,-0.0537316522459437,-0.111722836588391,-0.108197961753765
1891,0.013629592461996,0.00132045724559011,0.00137270312492922,0.0100550336997037,0.00131783490563764,0.000272025263586498,0.00432801530686276,0.00205671219623326,-0.000251916029725296,-0.034851915088821,-0.0188657231534434,0.00987690201005022,-0.0234166875692812,-0.0317728941859289,-0.0100582346665962
1892,0.0113894043103248,0.000530862364183711,0.00110957880321616,0.00906049267637453,0.00077021871679861,0.000143868330183535,0.00413575840816483,0.00246984807354847,0.00137843689433952,-0.0330830066405448,-0.0153969306480702,-0.0116750166357771,-0.0578633830509974,-0.0852694506044677,-0.129486192579427
1893,0.00907340231930852,-0.000241866602269283,0.000852362739529967,0.00806594802981604,0.000388582892394591,1.90961265949946e-05,0.00399170216671911,0.00285211311041449,0.00257685966096514,-0.0191600092895268,-0.00599161323103968,-0.0585866860981264,-0.0128298592474305,-0.0667881129716044,-0.116077654658924
1894,0.00668547151585687,-0.00103297166369769,0.000612721268571322,0.00707140011345468,0.00014896602610727,-0.000102717978244187,0.00392281257944318,0.00323209941033694,0.00326849675403887,-0.00826883637295422,0.00611044569349329,-0.0326735150937165,-0.0708262493321937,-0.0800914183672122,-0.105714917571755
1895,0.0043018285051894,-0.00188123115837829,0.000382767541815402,0.00607685677989331,-0.000263437255442055,-0.000224037225114962,0.00379929759384895,0.00359488615818667,0.00413433076858899,-0.00187257915560518,0.0130521536821439,-0.00871879543670458,-0.0449268523936023,-0.020390624434288,-0.0833581638179183
1896,0.00189320176308322,-0.0028081190736283,0.000147089682099833,0.00508230768803209,-0.000799740734766984,-0.000347812070719054,0.00367108343077783,0.00400585308814512,0.00509631851791441,0.00239010319727915,0.00857002332349747,0.0367830954381852,0.0249179567953175,0.0918279181946953,0.0750827251442509
