"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1855,0.087606812192988,0.0411212520870811,0.00134739224999256,0.12725178703442,-0.00576648776163364,-0.000473373053123264,-1.22939295397035e-06,-0.0146115337133464,-0.0168132262803918,0.0151445352264377,-0.0345943552473371,-0.00235331686380629,-0.00476521622684434,0.000459967158848099,0.0145665840035151
1856,0.0236817558329627,-0.003134058891129,0.0192161532042963,0.0580760953677533,-0.00507418480667044,-0.00042485563839953,-1.10617249277811e-06,-0.0132707509964352,-0.0159431354253484,0.014783232159925,-0.0328962986157956,-0.00223207748396688,-0.00464470064616643,-0.0025677136271127,0.015015161300053
1857,0.0040005020010767,-0.077784656865558,-0.0389463510509148,0.0112898703677533,-0.00443071371594234,-0.00034091948367409,-9.97702331037753e-07,-0.0119202420319887,-0.0151327572637708,0.0140630320132087,-0.0312676607974286,-0.0021209466668126,-0.00452157435639068,-0.00337345029971965,0.0152608441720741
1858,-0.0098869205473625,-0.0283054339300069,0.0194803638158564,0.0212469620344203,-0.00385875986174664,-0.000273136133998644,-8.97883282040983e-07,-0.0106825656572943,-0.0143567474098252,0.0132815271604007,-0.0296831433082968,-0.0020171225628504,-0.00439369131583481,-0.00226793327827942,0.015412525310163
1859,0.0507553956867185,0.023557889300601,0.00518116428301284,0.14963016203442,-0.00342229087571164,-0.000253721231080377,-8.06398580914603e-07,-0.00975928132047206,-0.0136019113522285,0.0127249206891321,-0.0281292706305149,-0.00191624756179357,-0.00424576482637517,6.74720351436595e-05,0.0155145387696885
1860,0.051352551346897,0.010660642419494,-0.0161071358307191,-0.0324630712989128,-0.00304467787744054,-0.00024418609500771,-7.27191646395103e-07,-0.00899028103039975,-0.0128670614241042,0.0122498595142841,-0.0265929707565366,-0.00181789040520781,-0.00407079602369228,0.00441633768404678,0.0155877874369743
1861,0.056426758453374,-0.00103807018042296,-0.0346528279923923,-0.0890681629655797,-0.00266059571805254,-0.000212267061051578,-6.60659899565783e-07,-0.00824409590862766,-0.0121366757515554,0.0118373030953256,-0.0250824940942751,-0.0017205231851132,-0.00387194103379212,0.00829888552870357,0.0102557089240585
1862,-0.0649098988062605,-0.120278085120239,-0.0254812441955617,-0.157772771298913,-0.00231309217357074,-0.000187796767337513,-5.86993422438913e-07,-0.00762395852127276,-0.0113839251030896,0.0117495511966318,-0.0236199275294787,-0.00162333499022579,-0.00365928296465117,0.00921237610871171,6.5445291533163e-05
1863,-0.0166453130413612,-0.0586657935579449,-0.011474320580853,-0.0200309462989127,-0.00201196547324064,-0.000158385385870946,-5.22592183867483e-07,-0.00708943130180465,-0.0105884958110666,0.011853816914288,-0.0221796165243832,-0.00152373453341932,-0.0034436636864426,0.00786449846265132,-0.00266975994877914
1864,0.0432069352904316,0.0183516774335991,-0.000480700002335352,-0.0188119129655798,-0.00163290596591594,-9.99528189239216e-05,-4.67235320374493e-07,-0.00641983153824456,-0.00975741189695547,0.011505571464664,-0.0207581081543769,-0.00142056609299621,-0.00322751240924285,0.00564541407575856,0.00203683671025446
1865,0.064345856410103,0.0398411622720771,-0.00492555905115336,0.0951575537010872,-0.00120140495347254,-3.48160308122176e-05,-4.12323550037393e-07,-0.00569472450322826,-0.00890702721405767,0.0107345975199551,-0.0193546327695051,-0.00131353353396497,-0.00300494944485662,0.00270678967698818,0.00670150128815168
1866,0.072053623190875,0.0486501983584101,-0.0067340291368591,0.0738428953677532,-0.000771450378905341,2.71303394239244e-05,-3.56495758941643e-07,-0.00501512464771586,-0.00804056291746877,0.00991641988716003,-0.0179695884408789,-0.00120239116303269,-0.00277531408106959,3.94837960797688e-05,0.00949679959845888
1867,0.0444716903361062,0.0227753681417621,-0.0079580769997848,-0.0173476796322468,-0.000287495449037341,0.000103580840173689,-3.04599868589523e-07,-0.00423530552180416,-0.00716253645229667,0.00877202067666958,-0.0166026823156861,-0.00108681791565438,-0.00253749190768482,-0.00132341785862722,0.0110068116032035
1868,0.052969525019166,0.03221384123258,-0.0108471792840331,0.0313158287010872,0.000207307435883857,0.000171419562146151,-2.58093136563193e-07,-0.00346028553422945,-0.00629050179565507,0.00754059381937783,-0.0152809042156322,-0.000968464243500976,-0.00229274610214863,-0.000980722153220061,0.0119162889442579
1869,0.0311814234478449,0.0157392960746751,-0.0106677307988835,0.10270286203442,0.000616602698803058,0.000221782814937245,-2.15552492527723e-07,-0.00285356195873625,-0.00545242415947947,0.00665197920553427,-0.0140039233030871,-0.000849032559145756,-0.00204389211536236,0.000720712713344249,0.0125212164806581
1870,0.0386258342611871,-0.00845686157112097,-0.0470297032537764,-3.30129655797262e-05,0.000958894971583558,0.00027091697342286,-1.76820438448963e-07,-0.00231484084523945,-0.00467256978795587,0.00591221187429122,-0.0127555795322003,-0.000730361292822116,-0.0017925420336109,0.00245058450791103,0.0129544699252938
1871,0.0192079363967305,0.010317819395138,-0.0132411213749766,0.00565917870108723,0.00114595561916496,0.000300063156311863,-1.32440394799463e-07,-0.00192246367961765,-0.00395671841346546,0.00547210044416482,-0.0115022824794042,-0.000615166530719886,-0.00153555427528444,0.00422937868898681,0.0132824972366396
1872,-0.0133777598391961,-0.0169433108965429,-0.0098945552543582,-0.0302113462989128,0.00123405129517996,0.000298199904826517,-8.95001703495829e-08,-0.00159370259246906,-0.00331410002168597,0.00506951952464152,-0.0102299803191567,-0.000504590380009766,-0.00127014904769734,0.00554426343628836,0.0118184859955433
1873,0.0022306859644575,-0.02422394273352,-0.0315540476727054,-0.0318150046322467,0.00136539192028006,0.000291169861139012,-5.1208817604633e-08,-0.00110587362274665,-0.00270763547772587,0.00424464946580532,-0.00892305586111042,-0.000399645275353426,-0.00100542266638771,0.00523277247976584,0.00881015804917985
1874,0.0204726914424051,-0.010079315473358,-0.0351164872737431,-0.0643146796322468,0.00145584182052086,0.000284530287474365,-1.17449365621929e-08,-0.000564094080468057,-0.00210693081830787,0.00345377482463672,-0.00757895717073622,-0.000300594789711256,-0.000738912681516078,0.00292573240045738,0.0083281098237505
1875,0.0310773738649002,0.00946896027014704,-0.0272524958580809,-0.0521447462989127,0.00144798523281216,0.000262280566225351,1.83150177225369e-08,-0.000177764958840455,-0.00151175621733807,0.00300016424838782,-0.00617708353215482,-0.000205202768987027,-0.000474009316848858,-0.000190175900334421,0.0102147416170708
1876,0.0264074101764899,0.00616837552484306,-0.0260320022887221,-0.0753378046322467,0.00142825989712946,0.000223652606628838,5.2241509444017e-08,0.000192060111866045,-0.000929568041235767,0.00247632143925212,-0.00473660242455012,-0.000112989113231896,-0.000215689221567338,-0.00339874752150365,0.0117306690967483
1877,0.160526041323374,0.224992063357357,0.0591766773778738,0.28380837678442,0.00145342721835026,0.000204199230659437,8.84635983679769e-08,0.000725917683531745,-0.000350349484476667,0.00170915077767042,-0.00328663911435032,-2.28848249175561e-05,3.50205712424624e-05,-0.00641301939082981,0.0125373779861633
1878,0.173237571485303,0.265929730943328,0.0874707776513773,0.289790910367753,0.00148489962621886,0.00018503398297227,1.20180868477207e-07,0.00128821200661904,0.000237260255306935,0.000812920895724625,-0.00180513727826872,6.57089630171437e-05,0.000277672986428242,-0.00909944724274631,0.013026288394492
1879,0.065858780499428,0.048771559108822,-0.0221269009545532,0.0296997370344202,0.00148405989387776,0.000115052843347024,1.58262377347667e-07,0.00170339754038035,0.000852059161900433,-5.6266008828975e-05,-0.000309120392955921,0.000153447168246983,0.000517349089560992,-0.0111621985939194,0.0127766566680324
1880,0.049074442309265,0.0378247245505111,-0.0170233460463172,-0.00705732129891273,0.00145306722447856,3.40957833026624e-05,1.90565561498197e-07,0.00204440176792384,0.00149413754765793,-0.000840924944979775,0.00122300300213758,0.000242374615866113,0.000753318974553092,-0.0110497164713553,0.0113552767445062
1881,0.0264962728356556,0.0634929084066351,0.0263187776027964,0.0746215370344203,0.00142523456242976,-1.62250467426086e-05,2.11578228318827e-07,0.00240576913752295,0.00214653907626364,-0.00160822404816238,0.00279473230176848,0.000332521427244624,0.000983634917164482,-0.00733099311165321,0.0102334356194591
1882,-0.00213908388883,0.021085912548446,0.00439934068950519,0.0132504870344203,0.00134611736943696,-7.61652442213456e-05,2.40390368322127e-07,0.00265283379078864,0.00280624927350873,-0.00215020238205108,0.00441966557312958,0.000424126718907114,0.00120580306101576,-0.00266776668310902,0.010736031288747
1883,-0.0729113954020196,-0.0692251724753639,0.00199031259798265,-0.0173009546322467,0.00123474934082836,-0.000123061596701872,2.66444259499007e-07,0.00286737243025095,0.00347403348421813,-0.00251664715385538,0.00605524449723657,0.000517363071614293,0.00141927116015961,-4.51879265239404e-05,-0.0106253452413457
1884,-0.0920659372990468,-0.111958173555802,0.0190442858037118,-0.123312796298913,0.00118274892358866,-9.51975241798136e-05,2.96351472835267e-07,0.00328639400482324,0.00415903369405374,-0.00286887656375527,0.00768725995417528,0.000612826743654164,0.00162944709695184,0.001711467585622,-0.0548255797845936
1885,-0.0385342321855596,-0.0524219029605179,0.0363684591309036,-0.112496954632247,0.00116030056184526,1.53607303294933e-05,3.34204294977017e-07,0.00378492469138225,0.00486415243838283,-0.00312787916067278,0.00939807972240908,0.000710221969785463,0.00183632016351317,0.00203094547299568,-0.0694360176775536
1886,0.0084135737421927,-0.0152619501789259,0.00785560469424307,-0.10797008796558,0.00115598827082876,0.000106105092664065,3.58785251460997e-07,0.00425630120770865,0.00559783642970964,-0.00367947211944568,0.0111554557330452,0.000810023965938664,0.00204070548621871,-0.000178548210043461,-0.052048205271983
1887,-0.0125844599268403,-0.0653853439982979,-0.0383738148561726,-0.163877271298913,0.00123493632186146,0.000144828891231295,3.82281131851767e-07,0.00477577933036214,0.00635453236008574,-0.00501494290339508,0.0130163683988641,0.000913092579619064,0.00224165207849562,-0.00325641172837803,-0.0346571277910732
1888,-0.0225215429638385,0.017721040782822,0.0424120169823312,0.0709592537010872,0.00134030167065226,0.000147829126892668,4.05590686967157e-07,0.00530696560375524,0.00712784064236784,-0.00670285379100068,0.0149427563663856,0.00101857439622033,0.00243962244818968,-0.00608416387379241,-0.0220147130138978
1889,-0.0145504202156375,0.056869277874604,0.0641877261739592,0.128793470367753,0.00139978972756006,0.000138892090889591,4.31592106666407e-07,0.00577164325582875,0.00791555895012903,-0.00822307281312288,0.0170295390888556,0.00112683476842103,0.0026379087230132,-0.00846058580991831,-0.0125225946268951
1890,-0.118505583624932,-0.150728951336849,-0.0420283080761433,-0.159575571298913,0.00140745560535596,0.000125589956038053,4.62216899621277e-07,0.00616173252476084,0.00872109558484673,-0.00955551438095978,0.0192055228491201,0.00123796915269978,0.00283275313681148,-0.00925797955290381,-0.011699287153386
1891,-0.0805118805897789,-0.0597103848730039,0.0129846393575276,-0.0483902046322467,0.00129452557167706,0.000107011359270237,4.88156375367887e-07,0.00642868357800754,0.00954983937324153,-0.0104322000285818,0.0215405179176941,0.00135177726273253,0.00302248539318967,-0.00829301026118001,-0.0174179783155932
1892,-0.123631815522881,-0.115594434344959,-0.0061288739789801,-0.0849128379655798,0.00109457321850316,7.17514721729063e-05,5.16414714381807e-07,0.00665364195689035,0.0104116830023814,-0.0109986287425427,0.0238490114795712,0.00146883638011573,0.00321239867410443,-0.00557304332301091,-0.0166173650255745
1893,-0.0672031947676709,-0.0839804482593119,-0.0477421825772402,-0.15633983796558,0.000944410588741059,4.94030273962942e-06,5.41724396011347e-07,0.00702018231353235,0.0112880358195349,-0.0119467670132681,0.0261862007846181,0.00158921994904186,0.00341333326943798,0.00115326653581616,-0.00969160920630734
1894,-0.139818998052866,-0.117378159072379,-0.0247434998224798,-0.152849454632247,0.000857042340257259,-5.92723375162296e-05,5.63930296890817e-07,0.00752959978535225,0.0121467447256408,-0.0133697812802933,0.0284611655356077,0.00171215599326255,0.00362818819031901,0.00975468507423819,-0.00427387232216274
1895,-0.107355770333731,-0.053074150580943,-0.00348240331867945,-0.0403580379655798,0.000715238646168657,-0.000139882043626256,5.90555772543237e-07,0.00787487311300555,0.0129591454161369,-0.0146393528246611,0.0307119381952899,0.00183566961338965,0.00385247314002805,0.0148457730564956,-0.00114204490722144
1896,-0.0198511454218512,0.07708518493771,0.036895873964213,0.0653505370344202,0.000568345631684758,-0.000181421427799079,6.11867251583567e-07,0.00810725842253084,0.0137022920942917,-0.0157979086156098,0.0329616299655861,0.00195677942587693,0.00407444862725334,0.0122396317440645,0.000925206859916362
1897,-0.0434827387651782,0.065610526395192,0.0523434359257414,0.0821176787010873,0.000548845281154859,-0.000130409924344125,6.34548516182567e-07,0.00854414287670235,0.0144040888251601,-0.0174056155090478,0.0351900231176267,0.00207379129708353,0.00429155612073522,0.00538437460342828,0.00240831377962316
1898,-0.050522906160453,-0.007260306391425,-0.0123468043065521,-0.0821587796322467,0.000594428804257158,-8.99515266818806e-05,6.57407669703067e-07,0.00904471697585754,0.015134936722972,-0.0193705502515819,0.0374492878321354,0.00218784420705849,0.00450502026065417,0.00140187679907176,0.00353985448529196
1899,-0.0364945961613758,0.023190692265552,0.00419790180818441,0.0165710537010872,0.000625241344539059,-0.000103983222039241,6.81729084805957e-07,0.00940826316087384,0.0159125058484054,-0.0213997000422902,0.0398284627398541,0.00230090886188016,0.00472776440590991,-0.000849889657666861,0.00443530533915076
1900,-0.0561758499932618,0.0694488035662341,0.0715207985234622,0.11481501203442,0.000610006375686457,-0.000136438182086916,7.07203966960167e-07,0.00971464669472404,0.0167244277932884,-0.0232543934594628,0.0422141497529908,0.00241536620556748,0.00495266840851695,-0.00451256714958952,0.00517057154371426
1901,-0.0616358815839602,0.00601660300979207,0.0145682206154078,0.0634714953677533,0.000560134773095158,-0.000111425611009855,7.37413630888207e-07,0.0100182190732452,0.0175610446210503,-0.0248181800010557,0.0446415569592928,0.00253233190437863,0.00520216869922705,-0.00843291403371411,0.00578459133070606
1902,-0.131354769227432,-0.0420952793050439,0.0454949184379728,-0.0495682629655797,0.000445092906774757,-0.000107819207484882,7.87155626812167e-07,0.0102511389569486,0.0184392371274279,-0.0261326820181518,0.0470945277222398,0.00265227709295983,0.00548601438008055,-0.0105275655982741,-0.00349290380730984
1903,-0.177634975769688,-0.088336177623146,0.0612857469102841,-0.187937446298913,0.000330056574803658,-0.000147283169648811,8.51839421689927e-07,0.0105226971852007,0.01937977601499,-0.0274801730153535,0.0495179622979468,0.00277646982387149,0.00580802950182555,-0.00872163516361551,-0.0240390870486768
1904,-0.241033320194854,-0.225055595960111,-0.0084334823348335,-0.257565021298913,0.000303640279480859,-0.000244227530773246,9.34476008657097e-07,0.011041069005671,0.0203960499655415,-0.0291870187637084,0.0519369397319018,0.00290649901316019,0.00614311429234345,-0.00579528458021161,-0.0330121968497063
1905,-0.205936532801424,-0.0927818675182919,0.0747465829301931,-0.0830470712989128,0.000330971869315758,-0.00035505346482882,1.03498978669835e-06,0.0116380332793612,0.0214851994716773,-0.0312501652547905,0.0544162951293068,0.00304468308945123,0.00648053689815485,-0.00283388681130146,-0.0248465639201003
1906,-0.125279163042709,-0.0351206019702029,0.0352125630116395,0.00607462870108727,0.000383581602834658,-0.000519534746636192,1.1563467593492e-06,0.0122075838919792,0.0226346071551076,-0.033781757233018,0.0570095169183068,0.00319098897444748,0.00682007542346525,0.000313174440840549,-0.0140834772568221
1907,-0.1870973716633,-0.12924053748886,-0.0065049055308607,-0.17355163796558,0.000482249242846258,-0.000741399248291035,1.32338748052457e-06,0.0128772340031134,0.0238203852850802,-0.0366600533099453,0.0597604549731478,0.0033455248210682,0.00718100997892755,0.00255982571176571,-0.00902397642393974
1908,-0.159374551357894,-0.079812304194233,0.00825981583061783,-0.246916796298913,0.000500096181915658,-0.00087171128034713,1.51286510845977e-06,0.0135463715017805,0.0250104283768296,-0.0390492035340213,0.0625456617456328,0.00350670957585026,0.00756445710494405,0.00531505200822526,-0.00776613426677794
1909,-0.18326950066865,-0.128413195041584,-0.0226080907876213,-0.25366418796558,0.000474458531296958,-0.00097680890490133,1.72972817760597e-06,0.0141429435389368,0.0262074268931356,-0.0411875775279692,0.0654107074573888,0.00367307152428584,0.00795368438426865,0.00545810235426889,-0.00475344373038554
1910,-0.191626447901072,-0.151570045152267,-0.0409455125570817,-0.201618104632247,0.000439456701449657,-0.00113686706908883,2.29322523054824e-06,0.0147100134038418,0.0274079387118651,-0.0433016500668002,0.0683652671026188,0.00384334186341827,0.00836978317525275,0.00264295414469254,-0.00119349468026614
1911,-0.170487526781401,-0.0881809842433159,0.0010880980802978,-0.230863529632247,0.00028384940733996,-0.00135091424452773,3.44021059373708e-06,0.0151214641154792,0.0285835693876868,-0.0448440764232222,0.0713972932547038,0.00401605756489534,0.00879347112924815,-0.00174132906940992,0.000933618905611463
1912,-0.205180070756763,-0.0746337572633499,0.0575904079860066,-0.159682271298913,0.000102810337551558,-0.00166004951260417,4.82067236514591e-06,0.0154822884860281,0.0296986689236331,-0.0461575994109815,0.0745806434432488,0.00418861435402508,0.00921292588490715,-0.00633266098973681,-0.00573301604420374
1913,-0.214590441858901,-0.139601910083761,0.0146854250060398,-0.147319429632247,-4.88769801003409e-05,-0.00201984202469209,6.51171487428693e-06,0.0160006920955565,0.0307261066947296,-0.0475335912908605,0.0779164141058218,0.00435778679652286,0.00963700414397315,-0.00888611339128911,-0.0192905161080008
1914,-0.170802907540303,-0.0538719279192459,0.0534103487851242,0.0310117370344202,-0.000257432369548644,-0.00228644599808323,9.23119044867363e-06,0.0165530998481112,0.0316842013925649,-0.0483683693343922,0.0813376242556288,0.00452136442467047,0.0100700424958577,-0.00823986308564421,-0.0210990314826245
1915,-0.034314072686554,0.108655120613498,0.0603480868589653,0.0851910953677533,-0.000517862140738842,-0.00254159259098904,1.3664103756297e-05,0.0169135565928255,0.0326818245974338,-0.0490238097350786,0.0847893813832798,0.00467903730326434,0.0104959189188647,-0.00250679127587786,-0.0130137463886473
1916,-0.112723707255196,-0.0337157175387069,-0.0229856746758955,-0.12928706296558,-0.000670788289316441,-0.00294563313586098,2.02851007184964e-05,0.0172894028091016,0.033805048645312,-0.0504578445421878,0.0883472862484708,0.00483717727835306,0.0109065592430326,0.00584379234113893,-0.00633173911483324
1917,-0.164271033146039,-0.103654325087321,-0.0583128880724864,-0.25840116296558,-0.000714992143681942,-0.00336340236791508,2.86283858149171e-05,0.0178986407996423,0.0350147739619232,-0.0524795912291545,0.0918942870909928,0.00499936845707343,0.0113036278277422,0.01479595662815,-0.00240105781184104
1918,-0.167887572964732,-0.0420831749286849,-0.0075830209081997,-0.134040779632247,-0.000874758041825342,-0.0035713941824876,3.75624383179681e-05,0.0185200470616042,0.0363070750208921,-0.0536795081365518,0.0952952642267518,0.0051686583005452,0.0116616217531705,0.022495534315683,-4.37827009149364e-05
1919,-0.118832919297545,0.0748890224698581,0.0530959720913854,-0.0598365879655798,-0.00116870127771554,-0.00363421901376298,4.62451834578204e-05,0.0190392824009672,0.0376994914031886,-0.0540498338446689,0.0986184506499388,0.00534710711102956,0.0119705919832104,0.0228939727150942,0.00152890560291126
