"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1860,-0.0185923727239097,-0.00624226624041918,-0.0143175714745738,-0.105338494696969,0.00427663540029074,0.000370150814935676,8.19638190943813e-07,0.00845431510732546,0.00776037540828047,-0.00412257193799331,0.0146710130466459,0.00102590006635834,0.00176714023998215,0.00992903270172112,-0.0164764800900877
1861,0.0355871322117935,0.0528291873853827,-0.00874872847762552,-0.0155003462121209,0.00400266802762508,0.000377050517181955,7.4945458313749e-07,0.00767949062822896,0.00777966382022571,-0.00407769206551512,0.0145146317628119,0.00101807794944452,0.00184889036622565,0.00740696275166815,-0.0140097964798258
1862,0.0437751086536893,0.0749460140848981,0.00674500068278151,1.06992424240886e-05,0.00387583412274744,0.000400266298972471,6.90909454331637e-07,0.00712698866053467,0.00788493261753097,-0.00427878278375732,0.0143768221685798,0.00102406130903493,0.00191655570910336,0.00259053205815305,-0.0101323708387308
1863,0.0432005138156615,0.0574256807533877,-0.00832911622485031,0.0189784689393936,0.00388439173976559,0.000449948842667156,6.40283172008859e-07,0.00685856242310306,0.00803652305331482,-0.00488328663286443,0.0142296681489683,0.0010402906479107,0.00197306944734584,-0.00243455678595101,-0.00532423843521536
1864,0.02069554932624,0.0498193703786767,0.0059929814001991,0.0740054893939391,0.00396482694852712,0.000516530209211951,5.95598481942885e-07,0.00677886278050137,0.00819108909551662,-0.0057177424487223,0.0140467956672933,0.00106342942665164,0.00201703954868216,-0.00636940571582306,0.000350314215085901
1865,0.0309185491528176,0.0562160310174237,-0.00127191777991385,0.144956503030303,0.00403202432422316,0.000565227904787533,5.56426876813415e-07,0.00672797468885258,0.00830651069219426,-0.00659416448054682,0.0138289565404413,0.00108940563027789,0.0020510730895287,-0.00857483724185177,0.00586194887163342
1866,0.0337436404397876,0.0667004152359603,-4.3728210172589e-05,0.132777037878788,0.00399870851993799,0.000576364507045309,5.28182081149467e-07,0.00659241083623674,0.00833527322725046,-0.00730780908032266,0.0135945566005628,0.00111383923373778,0.00207913218308074,-0.00789822073649061,0.0122772392203539
1867,0.0274470386730665,0.0583985550428471,-0.00767075107885761,0.0699516250000001,0.00383607818735666,0.000548433662225332,4.98153719860904e-07,0.00636671166747994,0.00824732687525515,-0.00780861530372131,0.0133895139558498,0.00113268653874244,0.00210814667444564,-0.00432927277405769,0.0153157177716581
1868,-0.0315925809342881,-0.0164335467453141,-0.0223910677701597,-0.0364285840909091,0.00356594660687097,0.00047759921336691,4.74769673091913e-07,0.00609755585639042,0.00804361987001114,-0.00811372684473298,0.0132372442460895,0.00114190923615218,0.00213745963239096,-7.38215801029557e-05,0.0112122024762986
1869,-0.062117931704514,-0.0597156458001509,-0.0305384619923519,-0.0939001742424244,0.00317066524020649,0.000391337535545348,4.53683285484538e-07,0.0057753526967216,0.00775504711212976,-0.00803594669492285,0.0131847100382938,0.00113940634267979,0.00216628860509162,0.00244497993534273,0.00459908062591646
1870,-0.0585506554184249,-0.0570558554702493,-0.0269655064652435,-0.14114925530303,0.00266091164563481,0.000291771071146684,4.36765188192956e-07,0.00539778774012231,0.00741480932849136,-0.00758485864061307,0.0132452336004818,0.00112549266059126,0.00219074044642459,0.00302376247474975,0.000520412144994508
1871,-0.0444730818867443,-0.0432667103568518,-0.0228284500827141,-0.133745214393939,0.00209433459768276,0.000174343704406384,4.1364573034033e-07,0.00501129726939084,0.00705047820591624,-0.00700921983204022,0.013428663535453,0.00110171359510183,0.00220878850337,0.000978080181191795,-0.00107355907303927
