"year","amo","est","mei","obs","r_ghg","r_othanthro","rfc_solar","rfc_volc"
1860,-0.0185923727239097,-0.00624226624041918,-0.0143175714745738,-0.105338494696969,0.0238536077331734,0.00988877019045034,0.00992903270172112,-0.0164764800900877
1861,0.0355871322117935,0.0528291873853827,-0.00874872847762552,-0.0155003462121209,0.0238635503019791,0.00888594179409542,0.00740696275166815,-0.0140097964798258
1862,0.0437751086536893,0.0749460140848981,0.00674500068278151,1.06992424240886e-05,0.0239463423844237,0.00805096499011703,0.00259053205815305,-0.0101323708387308
1863,0.0432005138156615,0.0574256807533877,-0.00832911622485031,0.0189784689393936,0.0240338367596667,0.00727910612108072,-0.00243455678595101,-0.00532423843521536
1864,0.02069554932624,0.0498193703786767,0.0059929814001991,0.0740054893939391,0.0240769744887509,0.00655080859275263,-0.00636940571582306,0.000350314215085901
1865,0.0309185491528176,0.0562160310174237,-0.00127191777991385,0.144956503030303,0.0240175304641768,0.00577357426692695,-0.00857483724185177,0.00586194887163342
1866,0.0337436404397876,0.0667004152359603,-4.3728210172589e-05,0.132777037878788,0.023856840130908,0.00493555532727163,-0.00789822073649061,0.0122772392203539
1867,0.0274470386730665,0.0583985550428471,-0.00767075107885761,0.0699516250000001,0.0236052182257982,0.0040538549869251,-0.00432927277405769,0.0153157177716581
1868,-0.0315925809342881,-0.0164335467453141,-0.0223910677701597,-0.0364285840909091,0.0232973041650178,0.00315029698191703,-7.38215801029557e-05,0.0112122024762986
1869,-0.062117931704514,-0.0597156458001509,-0.0305384619923519,-0.0939001742424244,0.0230005758614671,0.00241622989875341,0.00244497993534273,0.00459908062591646
1870,-0.0585506554184249,-0.0570558554702493,-0.0269655064652435,-0.14114925530303,0.0227541637221485,0.00184232566927582,0.00302376247474975,0.000520412144994508
1871,-0.0444730818867443,-0.0432667103568518,-0.0228284500827141,-0.133745214393939,0.022606424046081,0.00127453703906713,0.000978080181191795,-0.00107355907303927
1872,0.0382206918860874,0.077752784921036,0.0209721536685711,0.0407804915530301,0.0225814961098416,0.000768890312586249,-0.00323070212414027,-0.00121617488796197
1873,0.103604796163332,0.187680999294725,0.0709741672085136,0.149197446272727,0.0227082372588097,0.000232115756116503,-0.00889669531451685,-0.000660540490002247
1874,0.113109552442375,0.181943264051569,0.0609078297133376,0.138013182204545,0.0229859006510632,-0.00048727650905645,-0.0145839602756467,4.98531664905277e-05
1875,0.101928894552418,0.160481807805326,0.0542846001383978,0.149206463590909,0.0233856470506227,-0.0012105983298808,-0.0183864467921571,0.000404883149763304
1876,0.0829193819943318,0.135220856263379,0.0481063159056074,0.15146694725,0.0238677020858309,-0.00185808776022221,-0.0184927721202651,0.000589090651046102
1877,0.0414049049468246,0.09395819042023,0.0437267431137051,0.122149553636364,0.0243930753628285,-0.00238744217965331,-0.0146392070118788,0.00142486620941674
1878,-0.0481121825275868,-0.00453682529014809,0.0384738788855862,0.0586892812348486,0.0249050151315861,-0.00276935364804062,-0.00817545643439333,-0.00799061320372375
1879,-0.132410033556579,-0.120740483548441,0.0280781095362147,-0.0550065866212118,0.0253946059494307,-0.00289790589806544,-0.000195269612278414,-0.0370958831430717
1880,-0.173852686249333,-0.194927292323565,0.0190139670553263,-0.173195277204546,0.0258880137976887,-0.00264554373081572,0.00596845438838424,-0.0673482114261856
1881,-0.182806789141932,-0.23775498195997,-0.00521974543410518,-0.278307948848485,0.0264155923976516,-0.00214091434414051,0.0101724579951557,-0.081634393023065
1882,-0.201792360248434,-0.302610837246929,-0.0529927521861049,-0.416408704583333,0.0269970783889228,-0.0018435052738679,0.0111760888150514,-0.0815210379420665
1883,-0.148594454827695,-0.203389783624934,-0.0164454816872369,-0.243818625757575,0.02763463321022,-0.00189329491781731,0.00922100637584165,-0.07091767496821
1884,-0.0681990604069747,-0.0447125186712191,0.0469570440838768,-0.0223271462121213,0.0283395372867255,-0.00221590820805789,0.00463264269349202,-0.0525584693146204
1885,-0.076554627009962,-0.0799770185897381,0.00441564336329268,-0.0591442856060603,0.0290962330330573,-0.00281902365980519,-0.00141124560808804,-0.0315800996116252
1886,-0.0600350254166633,-0.0618736268541044,-0.00852689610825872,-0.0482650803030304,0.0298950548229464,-0.00359553482247141,-0.00691469062076069,-0.0113293182339703
1887,-0.0636501846059214,-0.0469358223638987,-0.00924423650632839,-0.00567743257575746,0.0307266355529469,-0.00443413021104154,-0.00967066264820218,0.00991779052360301
1888,-0.043587248178118,-0.023991807831539,-0.0378829871670591,-0.0145285962121211,0.0315533653028242,-0.00538815288548025,-0.00699863245623201,0.0374854658807808
1889,-0.0892196548981579,-0.0558438900496254,-0.0526416679649342,-0.0230403424242428,0.0322892208231764,-0.00646071914758109,0.000804115610405442,0.0582148956881578
1890,-0.124461471630529,-0.0764872618768235,-0.0460037002015512,-0.0259216765151517,0.0328526235626467,-0.00741743736851985,0.0108105134010566,0.055414711308349
1891,-0.0893393621560802,-0.0111885330335357,-0.00951454011998602,0.0176045499999997,0.0331960715940395,-0.00799800299600762,0.0187166960406676,0.0405217860044114
1892,-0.0410494543101621,0.0563435822121626,0.0183958261756128,0.0550534507575756,0.0333191775290728,-0.00828632449952453,0.0213785167257775,0.0295690692911863
1893,-0.00269524887180766,0.0558880412406134,-0.012358857501103,-0.0299442992424245,0.0332957788400472,-0.00866243871276872,0.0199822901796904,0.0237498449220435
1894,0.0400641836580929,0.109289582216631,0.00610568709991607,0.0505988439393935,0.0332348983499744,-0.00939448778465721,0.0155423320706081,0.0218373533115659
1895,0.0794957544177497,0.204752547984659,0.0705232184191449,0.21228865,0.0332119851544515,-0.0103404691142838,0.00763185780021291,0.0230553814333077
1896,0.0635268062108943,0.157796097091614,0.0504505527028836,0.194619058333333,0.033275513260192,-0.0113044898817038,-0.00274090037232245,0.023385146256382
1897,0.031421319636092,0.124108131132552,0.0692974001705584,0.165937315909091,0.0334641045515144,-0.0120991532570732,-0.0134473393919877,0.014798307534716
1898,-0.0406185081816411,0.0364279751279638,0.0819408642984213,0.0545461500000001,0.033817974982546,-0.0125757154102414,-0.0218479518650418,-0.00392918739493688
1899,-0.105787139394626,-0.0988237282309061,0.0340669994531556,-0.118088221969698,0.0343547337027105,-0.012777163737336,-0.0249922703068382,-0.0215121121005711
1900,-0.178808566727323,-0.178984344890412,0.032973473027098,-0.200290118181819,0.0350781867749834,-0.0129576404420593,-0.0213493928841371,-0.0310284559557741
1901,-0.191449653163934,-0.198432616291235,0.0164623462989824,-0.186968867424242,0.0359809081609463,-0.0133232903575628,-0.0123359776322922,-0.0320962081331547
1902,-0.182830730593517,-0.19240147999904,-0.000504475460539324,-0.201857848484848,0.0370174798782034,-0.013913316296126,-0.00222370738230606,-0.0285743724846584
1903,-0.159296283685963,-0.152049495896166,0.00161140805917864,-0.21923053560606,0.0381285441685173,-0.0144508885170868,0.0056982544026162,-0.0228378453604732
