"year","r_aer_all","rfc_BC","rfc_cloud","rfc_NO3","rfc_POA","rfc_SO4","rfc_SOA"
1850,0.0173215841372937,-0.00548285670744205,0.0176651803364056,0.000326630399202674,0.000596328448248756,0.00357417202085287,8.694929645579e-05
1851,0.0176138093842097,-0.00555228774796978,0.0179518120073912,0.000352335815312923,0.000683827833349304,0.00353560020502274,8.30608860104491e-05
1852,0.0178588672824075,-0.00559697141539597,0.018175886444779,0.000381224311586875,0.000774348113124968,0.00348244002654039,7.82227565965415e-05
1853,0.0176237740981523,-0.00548628278393158,0.0178908484785547,0.000387326956851402,0.000775179596163239,0.00341525649494937,7.30566638559208e-05
1854,0.0169506857401229,-0.00526844129542077,0.0171816898647301,0.000373062141196132,0.000712039124105778,0.00332997620973814,6.70081358914823e-05
1855,0.0164848556341007,-0.00512126610285543,0.016685523700987,0.000372911528656454,0.000689040376084697,0.00325161482553535,6.22672082591096e-05
1856,0.0161393924003357,-0.00499380790866309,0.0162892311888459,0.000376546935563355,0.000676809453200365,0.00318320597107953,5.84992008853717e-05
1857,0.0154138831007155,-0.00472754748777943,0.015495727429999,0.000346794212809707,0.000613417412072211,0.00311441064194225,5.3647665127166e-05
1858,0.0146146753800755,-0.0044322609363416,0.01463312655313,0.000311568903336662,0.00054523247299965,0.00304304191872837,4.84457911654183e-05
1859,0.0140108993985406,-0.00424215159863317,0.0140223065645217,0.00030719402746137,0.000495558561975157,0.00296226976297628,4.37404745153941e-05
1860,0.0134846070072087,-0.00408333235772205,0.0134985618772688,0.000310854810349132,0.000459802454855872,0.00286810609584059,3.8912100503125e-05
1861,0.0130537580647802,-0.00393125815755025,0.0130451919548136,0.00030997300517456,0.000443133094644325,0.00278847594119676,3.59842130035064e-05
1862,0.0129790591409273,-0.0038872470609033,0.012949669133479,0.000322815616692985,0.000461600081389035,0.0027457431697517,3.86398511433209e-05
1863,0.013121622422986,-0.0038955793880829,0.0130675808988661,0.000342947708382896,0.000521823195619395,0.00270303718961135,4.37808579402525e-05
1864,0.0127822441157237,-0.0037403978982427,0.0126771650485115,0.000338129322191737,0.000537835298968012,0.00261438739919217,4.40071454220426e-05
1865,0.0119806031258442,-0.00345783719293047,0.0118245152269883,0.000317811786814922,0.000488080187396609,0.00249502095814834,3.90330265210182e-05
1866,0.011134692610653,-0.00316306868402383,0.0109247704244439,0.000296704470635646,0.000435825706728306,0.0023690438456463,3.27237488514146e-05
1867,0.00994583733059514,-0.00276034623843731,0.00966831059897547,0.000257257656438553,0.000338952462749701,0.00223029267519317,2.55886782043295e-05
1868,0.00866220230996098,-0.00233505938171932,0.00830615208718045,0.000214315802143349,0.000217512678917926,0.00208816525707983,1.86528121617633e-05
1869,0.00773212052313127,-0.00202711008783753,0.0073305490896522,0.00019321321256647,0.000150491584034979,0.00195275022084616,1.30918594698238e-05
1870,0.00695488191395064,-0.00176403063911575,0.0065131717572049,0.000178909803923775,0.000114353935088036,0.00181595647396259,7.78428392838053e-06
1871,0.00647371279413445,-0.00159913064407754,0.0060283184286869,0.00018045776046391,0.000147740311460166,0.00165880027820312,3.69591853612282e-06
1872,0.00601361880930064,-0.00146407261707108,0.00559291168239421,0.00018730000599579,0.000194153155427751,0.0014667861066799,-2.39522515880846e-08
1873,0.00508322121890624,-0.00119856018689668,0.00467399238092141,0.00016365633569579,0.000142525644216845,0.00128870083236243,-4.07318299400518e-06
1874,0.00419265261233284,-0.00094782274175435,0.00380522174320371,0.000131018565989096,7.28063392803573e-05,0.00115512342653904,-6.64757943936097e-06
1875,0.00366119291311824,-0.00081593831263118,0.0033132718406047,0.000119219959207768,6.31159783498393e-05,0.00102273864157134,-8.63072111402398e-06
1876,0.00303754327173095,-0.00066877742147458,0.00273503900725671,0.000105069819468655,4.13658989133433e-05,0.00087488947245307,-1.17041503850808e-05
1877,0.00216708036925374,-0.0004294753449633,0.0018868060332341,6.55900887572172e-05,-1.11851139913256e-05,0.000728924609029451,-1.58275367432514e-05
1878,0.00116390938946345,-0.00015205874551656,0.000914118544183305,1.96089556774312e-05,-8.36838603806247e-05,0.000577192360119731,-2.00753205386584e-05
1879,0.000125007634795244,8.92486117477602e-05,-5.38788890673964e-05,-5.22449929159284e-06,-0.000160545374846013,0.00037444863057656,-2.36182996459034e-05
