"year","c2f6","c3f8","c4f10","c5f12","c6f14","cc4f8","ccl4","cf4","cfc11","cfc113","cfc114","cfc115","cfc12","ch3br","ch3ccl3","ch3cl","halon1202","halon1211","halon1301","halon2402","hcfc141b","hcfc142b","hcfc22","hfc125","hfc134a","hfc143a","hfc152a","hfc227ea","hfc23","hfc236fa","hfc245fa","hfc32","hfc365mfc","hfc4310mee","nf3","r_fgs","sf6"
1850,-2.30538318735236e-08,0,0,0,0,0,-1.46608193587288e-06,-1.57475239003792e-06,0,0,0,0,0,0,0,0,0,-4.4756325549728e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.52706116848104e-06,0
1851,-2.30538318735236e-08,0,0,0,0,0,-1.07812155926558e-06,-1.16230873137037e-06,0,0,0,0,0,0,0,0,0,-3.21970121118936e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.60342885542302e-06,0
1852,-2.30538318735236e-08,0,0,0,0,0,-8.58531430831357e-07,-9.32280819465088e-07,0,0,0,0,0,0,0,0,0,-2.59907514432726e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08791311705828e-06,0
1853,-2.30538318735236e-08,0,0,0,0,0,-7.20010969202756e-07,-7.87322816763303e-07,0,0,0,0,0,0,0,0,0,-2.20963485097476e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76196913628789e-06,0
1854,-2.30538318735236e-08,0,0,0,0,0,-6.24708559362696e-07,-6.86568161146363e-07,0,0,0,0,0,0,0,0,0,-1.89139564190209e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53480667873189e-06,0
1855,-2.30538318735236e-08,0,0,0,0,0,-5.51965947717456e-07,-6.08607712739193e-07,0,0,0,0,0,0,0,0,0,-1.6677417044245e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35849281308933e-06,0
1856,-2.30538318735236e-08,0,0,0,0,0,-4.93539104329056e-07,-5.45086881420813e-07,0,0,0,0,0,0,0,0,0,-1.51366902136049e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2209855129418e-06,0
1857,-2.30538318735236e-08,0,0,0,0,0,-4.42487883459306e-07,-4.91279027023793e-07,0,0,0,0,0,0,0,0,0,-1.36875995568562e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.10160786800401e-06,0
1858,-2.30538318735236e-08,0,0,0,0,0,-3.96823860059706e-07,-4.44488071922563e-07,0,0,0,0,0,0,0,0,0,-1.20938948661674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.90061256974825e-07,0
1859,-2.30538318735236e-08,0,0,0,0,0,-3.56950340750916e-07,-4.01746008973083e-07,0,0,0,0,0,0,0,0,0,-1.06055133009158e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.89525764928374e-07,0
1860,-2.30538318735236e-08,0,0,0,0,0,-3.19954748205676e-07,-3.62768395158843e-07,0,0,0,0,0,0,0,0,0,-9.4518192789077e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.01963572247485e-07,0
1861,-2.30538318735236e-08,0,0,0,0,0,-2.87947553631836e-07,-3.27308727394073e-07,0,0,0,0,0,0,0,0,0,-8.7170379847181e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.28928109841934e-07,0
1862,-2.30538318735236e-08,0,0,0,0,0,-2.55720472327536e-07,-2.92724719430273e-07,0,0,0,0,0,0,0,0,0,-7.7534895414679e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47448697156285e-07,0
1863,-2.30538318735236e-08,0,0,0,0,0,-2.25577495285296e-07,-2.59824815127463e-07,0,0,0,0,0,0,0,0,0,-7.0264869408814e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.75490924638964e-07,0
1864,-2.30538318735236e-08,0,0,0,0,0,-1.99644064509736e-07,-2.31702440615843e-07,0,0,0,0,0,0,0,0,0,-6.2851183605849e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.14288596923595e-07,0
1865,-2.30538318735236e-08,0,0,0,0,0,-1.74776887937896e-07,-2.06047139154063e-07,0,0,0,0,0,0,0,0,0,-5.3850214961087e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.52700612361575e-07,0
1866,-2.30538318735236e-08,0,0,0,0,0,-1.51169334975106e-07,-1.80085405540963e-07,0,0,0,0,0,0,0,0,0,-4.4561751365946e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.93168063806905e-07,0
1867,-2.30538318735236e-08,0,0,0,0,0,-1.27903963237086e-07,-1.54980503728083e-07,0,0,0,0,0,0,0,0,0,-3.701064330289e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.35962616775795e-07,0
1868,-2.30538318735236e-08,0,0,0,0,0,-1.06317779845736e-07,-1.32103054666313e-07,0,0,0,0,0,0,0,0,0,-3.0464869949919e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.83322540541335e-07,0
1869,-2.30538318735236e-08,0,0,0,0,0,-8.55903230189664e-08,-1.10411443912363e-07,0,0,0,0,0,0,0,0,0,-2.5963131769373e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.38104065934274e-07,0
1870,-2.30538318735236e-08,0,0,0,0,0,-6.75380407260063e-08,-8.97206128368128e-08,0,0,0,0,0,0,0,0,0,-2.21090525168591e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95273444522585e-07,0
1871,-2.30538318735236e-08,0,0,0,0,0,-4.96166623228263e-08,-6.9412287370493e-08,0,0,0,0,0,0,0,0,0,-1.4974606544244e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45940195984224e-07,0
1872,-2.30538318735236e-08,0,0,0,0,0,-3.20420616998062e-08,-4.9330246783073e-08,0,0,0,0,0,0,0,0,0,-7.93681526686704e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.94440997443847e-08,0
1873,-2.30538318735236e-08,0,0,0,0,0,-1.50976265885864e-08,-3.03216141623728e-08,0,0,0,0,0,0,0,0,0,-2.06020293078703e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.57751575673943e-08,0
1874,-2.30538318735236e-08,0,0,0,0,0,2.53302195174359e-09,-1.04279055437029e-08,0,0,0,0,0,0,0,0,0,3.412070692267e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19331740947543e-08,0
1875,-2.30538318735236e-08,0,0,0,0,0,1.77279235204037e-08,6.3393302039471e-09,0,0,0,0,0,0,0,0,0,6.20774840095203e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26749691691855e-08,0
1876,-2.30538318735236e-08,0,0,0,0,0,3.16086781609138e-08,2.30113209100872e-08,0,0,0,0,0,0,0,0,0,9.86592109045501e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78620629959351e-08,0
1877,-2.30538318735236e-08,0,0,0,0,0,4.69574010954736e-08,3.94553101734572e-08,0,0,0,0,0,0,0,0,0,1.45214356871499e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73574014139756e-08,0
1878,1.20029785386973e-08,0,0,0,0,0,6.07349663669337e-08,5.58839559340369e-08,0,0,0,0,0,0,0,0,0,1.7757210316007e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33768943691785e-07,0
1879,1.54996839074003e-08,0,0,0,0,0,7.61386785832537e-08,7.23520370820871e-08,0,0,0,0,0,0,0,0,0,2.2075383599532e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73964908284486e-07,0
1880,1.72881708920547e-08,0,0,0,0,0,8.96300590526336e-08,8.76144326858071e-08,0,0,0,0,0,0,0,0,0,2.6541942836187e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10611180876375e-07,0
1881,1.67992226832277e-08,0,0,0,0,0,1.00459024444254e-07,1.02152070891527e-07,0,0,0,0,0,0,0,0,0,2.8406137534937e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33387097413916e-07,0
1882,1.70152202283227e-08,0,0,0,0,0,1.13949928533814e-07,1.16331618495707e-07,0,0,0,0,0,0,0,0,0,3.1102419365386e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65231640267525e-07,0
1883,1.79923820384224e-08,0,0,0,0,0,1.25279637087464e-07,1.31448568433537e-07,0,0,0,0,0,0,0,0,0,3.4617536710222e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94335563090256e-07,0
1884,1.83615549413175e-08,0,0,0,0,0,1.35887319444274e-07,1.46351891073477e-07,0,0,0,0,0,0,0,0,0,3.9338089818122e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27757631627616e-07,0
1885,2.00826537413704e-08,0,0,0,0,0,1.48279690895324e-07,1.61866095136667e-07,0,0,0,0,0,0,0,0,0,4.5310496300466e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66524348933946e-07,0
1886,2.08613257004185e-08,0,0,0,0,0,1.59446158093784e-07,1.75375652110097e-07,0,0,0,0,0,0,0,0,0,4.8398617510106e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96320761124705e-07,0
1887,2.16272297137841e-08,0,0,0,0,0,1.70386896128644e-07,1.89310948371237e-07,0,0,0,0,0,0,0,0,0,5.0803341534743e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21985416893135e-07,0
1888,2.17307802009439e-08,0,0,0,0,0,1.78028626668934e-07,2.02621955868097e-07,0,0,0,0,0,0,0,0,0,5.3272483576858e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45318468249826e-07,0
1889,2.2367427603763e-08,0,0,0,0,0,1.88691773493874e-07,2.16328987641227e-07,0,0,0,0,0,0,0,0,0,5.6067626367625e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76171915676626e-07,0
