"year","amo","est","mei","obs","r_ghg","r_othanthro","rfc_solar","rfc_volc"
1855,0.0699458530145279,0.0314677877004078,0.00151865967287308,0.0664162948197465,-0.062376099883409,-0.00869347983202075,0.000692907007892877,0.0287625020667011
1856,0.0189076690631021,0.000769749384712803,0.0216587240569898,0.0425930039864135,-0.0595749329163353,-0.00669846089126085,-0.00381136490159085,0.0296557493689944
1857,0.00319402701624654,-0.0774985674095092,-0.0438968331210967,-0.0988667885135875,-0.0568845969695687,-0.00512652069442465,-0.00498945553776605,0.030144871178282
1858,-0.00789378216215336,-0.0167345079603572,0.0219565185566418,-0.0276205489302536,-0.0542868855857814,-0.00385186134972924,-0.00333597367981833,0.0304442059302803
1859,0.040523440558217,0.0234252225845108,0.00583974359002391,0.0829946689864134,-0.0516907756916436,-0.00287355417348045,0.000129819579509587,0.0306436060567259
1860,0.0410002135509562,0.0107842874479698,-0.0181545185759656,-0.0315351231802535,-0.0491109938429842,-0.00203006995414295,0.00656455016898201,0.0307871029687479
1861,0.0450514937602293,-0.00601691112867919,-0.0390575590911585,-0.0612039465135865,-0.0465271572682883,-0.00111238441357774,0.0123095832587883,0.0202681705604912
1862,-0.0518244886149844,-0.109399062778638,-0.0287201725960977,-0.171616781013588,-0.0439734418649496,-2.47530183748457e-05,0.0136553436122582,0.000134631715889476
1863,-0.0132897270226783,-0.0580040321822052,-0.0129328248250317,0.0156461664864135,-0.0413773630435316,0.00117706384515535,0.0116507370759677,-0.00533227416776652
1864,0.034496700306539,0.0122890238547128,-0.00054180192019117,-0.107487478513588,-0.0387586146060712,0.00208741155810446,0.00835588444157375,0.00394521749615518
1865,0.0513741534692572,0.0313084734532008,-0.00555164830240256,0.0292221423197465,-0.0360453138667689,0.00265389528899686,0.00400324210739751,0.0131982260135407
1866,0.0575280849823738,0.0393503861331368,-0.00758999354950776,0.0175905477364134,-0.033278936762542,0.00312794364196736,7.18655443522169e-05,0.0187580061738033
1867,0.0355064890239879,0.0193771603746838,-0.00896963049420736,0.00293562790307944,-0.0304641900702908,0.00344546160721516,-0.00196100065629958,0.0217597637623105
1868,0.0422912159282574,0.0281043349817318,-0.0122259674145939,0.0141371748197465,-0.0277026681599478,0.00367260423632265,-0.00144008145104971,0.0235543980796872
1869,0.0248954528383272,0.0178518848496338,-0.0120237091800253,0.0500737589864125,-0.0250312159779994,0.00399496849947106,0.00108886712039168,0.0247376740248976
1870,0.0308391192210593,-0.0106466098441072,-0.0530076625860749,0.0357247864864135,-0.0224701153678245,0.00431588349454146,0.00365900760898895,0.0255875496023065
1871,0.0153357423045881,0.0182388999234528,-0.0149242041847174,-0.0127966851802536,-0.0199508719782683,0.00463682155783805,0.0062952823525918,0.0262339926674521
1872,-0.0106808911311004,-0.00217434320781523,-0.011152255065955,0.0344782704447464,-0.0174790731853085,0.00475782034081546,0.00821910935722093,0.023363454745181
1873,0.00178099429354664,-0.0180561829422002,-0.0355648918989381,0.0248735539864124,-0.0149904854161499,0.00462692449139405,0.00775714129331725,0.0174260783512439
1874,0.016345531022037,-0.0101430378318492,-0.0395801542393381,-0.00711243434692055,-0.0124293626541411,0.00459569277588816,0.00433814660386438,0.0164721979879277
1875,0.0248123789693813,0.00794556102222577,-0.0307165685753622,-0.0147927651802535,-0.00984321880258245,0.00460606257431966,-0.000279752929584104,0.0201852536981188
1876,0.0210838493544337,0.0053709048722338,-0.029340937711524,-0.0598483401802535,-0.00725251254752014,0.00449565999204885,-0.00505528067583565,0.0231899172728424
1877,0.128165043452036,0.208387671781741,0.0666986421429198,0.266936287444746,-0.00462777308959554,0.00435562258037685,-0.00952875383344275,0.024775971269472
1878,0.138314012442456,0.249777604505913,0.0985892137755191,0.34654640865308,-0.00193057047438855,0.00413492159529125,-0.0134926041072804,0.0257340271010469
1879,0.0525820819776128,0.0381272233092038,-0.0249394578048986,0.0538983510697464,0.00077824299796786,0.00366678438661645,-0.0165501170979019,0.0252443426299169
1880,0.039181356364985,0.0300367830152178,-0.0191871885399727,0.0522273181530795,0.00356164794826845,0.00314723137165795,-0.0163675187587061,0.0224500762787877
1881,0.0211547978839018,0.0670952109724588,0.0296641651196247,0.136447605153079,0.00643369421131146,0.00272384785113485,-0.0108405342963761,0.0202384346867392
1882,-0.00170785859602157,0.0305285137712428,0.00495854217093654,0.0684020303197465,0.00937907330177545,0.00234224473921586,-0.00390703979391065,0.021224450147973
1883,-0.0582129359374405,-0.0619834892026242,0.00224330181428919,0.0147307114864135,0.0123376994984295,0.00210787552599846,-4.34477696511035e-05,-0.0209441905619943
1884,-0.0735060477235274,-0.137690244213467,0.0214650105408621,-0.125533094346921,0.0152812829410185,0.00224925154153306,0.00256822873224122,-0.108238994483796
1885,-0.0307659835235343,-0.101030024239688,0.0409912646053448,-0.108326182680254,0.0184020181242895,0.00268298709395316,0.00304862646794262,-0.137425659253543
1886,0.00671745241684994,-0.0614732143041042,0.00885413290394484,-0.0558843951802536,0.0216164101935444,0.00282679312418126,-0.000267992817168074,-0.103117532741172
1887,-0.0100475152819274,-0.0983187002594612,-0.0432515216832284,-0.127970156013588,0.0249165985617585,0.00222136312385356,-0.00483797447399595,-0.068630562347539
1888,-0.0179813475045621,0.00711528804388178,0.0478030208624326,-0.0174640601802535,0.0283445021376885,0.00125074497497515,-0.00904085368378275,-0.0434725313277493
1889,-0.0116171508610611,0.0549025046136588,0.0723466468167303,0.117668046486413,0.0319058526532735,0.000328357923719658,-0.0125747063423068,-0.0246227657050809
