"year","amo","est","mei","obs","r_abd","r_aer","r_fgs","r_o3","rfc_CH4","rfc_cloud","rfc_CO2","rfc_H2Os","rfc_N2O","rfc_solar","rfc_volc"
1860,-0.0148442722339118,-0.0131034548644423,-0.0161374821712335,-0.0810594666060601,0.00470896658476767,0.000408619237398203,9.02679230542684e-07,0.0093131875860381,0.00855594932214708,-0.00454238208614729,0.0159603193678842,0.00113011573197446,0.00195188819798425,0.0147035764558871,-0.0325917330191548
1861,0.0284129995897043,0.0375576879447967,-0.00986078191258672,-0.00827106792803028,0.00440785969704315,0.00041488334418968,8.25806215410499e-07,0.00846081713181987,0.00857900786331536,-0.00449279523465937,0.0158246703039232,0.0011210645097848,0.00203283256136922,0.0109494423691944,-0.0277240196281593
1862,0.0349503336434722,0.0615863748822344,0.00760235969184038,0.0439030509318182,0.00426676791169231,0.000440039584791818,7.60678157498301e-07,0.00785465420653894,0.00869478792965457,-0.00471382943017407,0.0156962465265124,0.00112723751336772,0.0021000528960907,0.00380690066910972,-0.0200380837198944
1863,0.0344915733589972,0.0446448134697365,-0.00938783262366467,0.0217833167916667,0.00427677748197095,0.000495893801444818,7.04607119500882e-07,0.00755631013522528,0.00886259785585263,-0.00538042005875508,0.0155944170463138,0.00114547341161683,0.0021594609180793,-0.00362988299698265,-0.010504071724358
1864,0.0165234622170621,0.0469280851476773,0.00675475101835489,0.0587909366893937,0.00436845768613452,0.000567735829898774,6.55935833809944e-07,0.00746582433344881,0.00903365655582583,-0.00630052735780744,0.0154290895160388,0.00117134609425431,0.00220792395989042,-0.00942788749826106,0.000791805848417368
1865,0.0246855722783454,0.0551315837799396,-0.0014335916208336,0.125830629507576,0.00444046866569525,0.000622770543169339,6.13082086480554e-07,0.00740969289479912,0.00916210594713108,-0.00726594477574226,0.0151974136153543,0.00120052182218747,0.00224517137364538,-0.0127226947558521,0.0116955438172371
1866,0.0269411436770139,0.0718536490317919,-4.92865157539801e-05,0.128462908121213,0.00440142532392486,0.000635011494387565,5.81495866189059e-07,0.00726175515828752,0.00919452525972553,-0.00804916747124028,0.0149396029985198,0.00122789447731691,0.0022797203801205,-0.011704910814858,0.0243343196696214
1867,0.0219138955596428,0.068139041801521,-0.0086457824914556,0.121811527096591,0.00422480295439894,0.000602808292197669,5.48500303056194e-07,0.00701549911550036,0.00909751132319488,-0.00860091561355517,0.014717509660543,0.00124891434726542,0.00231396695008735,-0.00639186404625192,0.0303588345198863
1868,-0.0252237236701573,0.000768130463702894,-0.0252372029416803,0.0468489599909095,0.00392699803989961,0.00052670395573353,5.22612560167477e-07,0.00671799635449257,0.00887151443159453,-0.00893987720065046,0.0145647436757191,0.00125912432907118,0.002349618333547,-9.57958195927825e-05,0.0222824641665417
1869,-0.0495953637828884,-0.0425801642133294,-0.0344202148257926,0.0417107542011364,0.00349177057532519,0.000431175635675201,4.99759440362006e-07,0.00636468103837821,0.00855273975491221,-0.00885139868822677,0.0145052448546549,0.00125642671138596,0.00238399313958786,0.00362384485234834,0.00917195250722841
1870,-0.0467472270167731,-0.0439364423039787,-0.0303930998768841,-0.0258674718939395,0.00292927944015936,0.000321638087382948,4.80930551328863e-07,0.0059474521763633,0.00817968640879006,-0.00834820561616855,0.0145816904715044,0.00124109181793037,0.00241286142683291,0.00446804954160414,0.00104970017152161
